domain,cell_macro_mae,physical_cells,method
CALB,0.04768072751347269,27,bounded_recovery_state
CALCE,0.05972581341868017,13,bounded_recovery_state
HNEI,0.05684214432178546,14,bounded_recovery_state
HUST,0.03448190889386868,77,bounded_recovery_state
MATR,0.04874365041607217,169,bounded_recovery_state
MICH,0.10565052167795674,40,bounded_recovery_state
MICH_EXP,0.08848281133404756,18,bounded_recovery_state
RWTH,0.148634180702122,48,bounded_recovery_state
SDU,0.06724077244278868,86,bounded_recovery_state
SNL,0.07252861824443502,61,bounded_recovery_state
UL_PUR,0.04032258602413584,10,bounded_recovery_state
XJTU,0.12398171192137948,23,bounded_recovery_state
CALB,0.03782644243669661,27,bounded_recovery_method
CALCE,0.05777172172922744,13,bounded_recovery_method
HNEI,0.049129298547932895,14,bounded_recovery_method
HUST,0.031474611260404746,77,bounded_recovery_method
MATR,0.044799815843287114,169,bounded_recovery_method
MICH,0.09784709030306071,40,bounded_recovery_method
MICH_EXP,0.08187664568794673,18,bounded_recovery_method
RWTH,0.14973796261426345,48,bounded_recovery_method
SDU,0.06393146877306276,86,bounded_recovery_method
SNL,0.06891811730147442,61,bounded_recovery_method
UL_PUR,0.037014342372937145,10,bounded_recovery_method
XJTU,0.11467931375312791,23,bounded_recovery_method
CALB,0.05032386486376047,27,strict_state
CALCE,0.058963889541813155,13,strict_state
HNEI,0.06529650057195181,14,strict_state
HUST,0.03394692415962171,77,strict_state
MATR,0.05078703072873228,169,strict_state
MICH,0.10472857361606029,40,strict_state
MICH_EXP,0.09051207585886864,18,strict_state
RWTH,0.14421515618330924,48,strict_state
SDU,0.0679263095683954,86,strict_state
SNL,0.07017262649956282,61,strict_state
UL_PUR,0.04032258602413584,10,strict_state
XJTU,0.12568214003299147,23,strict_state
CALB,0.040455873559470806,27,strict_method
CALCE,0.05446868201152872,13,strict_method
HNEI,0.05700020111159264,14,strict_method
HUST,0.030855834017635142,77,strict_method
MATR,0.0494696776323124,169,strict_method
MICH,0.0969849615376294,40,strict_method
MICH_EXP,0.08464938623788601,18,strict_method
RWTH,0.1453074741276922,48,strict_method
SDU,0.06528704462743475,86,strict_method
SNL,0.06668762590174612,61,strict_method
UL_PUR,0.03715022080825636,10,strict_method
XJTU,0.11621316419014152,23,strict_method
