outer_target_domain,selected_alpha,selected_recovery,selected_inner_domain_equal_method_mae,strict_selected_alpha,strict_selected_inner_domain_equal_method_mae,inner_domains,outer_target_labels_used_for_selection
CALB,0.01,0.005,0.07157581496447135,0.01,0.07296814319517571,11,False
CALCE,0.005,0.005,0.06965317381397279,0.005,0.07218681628436638,11,False
HNEI,0.005,0.005,0.07339823967641602,0.005,0.07528403408350552,11,False
HUST,0.01,0.005,0.06969829953169274,0.01,0.07118881936376543,11,False
MATR,0.015,0.005,0.07067917335809869,0.015,0.07183463839146934,11,False
MICH,0.015,0.005,0.06442092641916589,0.015,0.06559338845241357,11,False
MICH_EXP,0.01,0.005,0.06359596317509064,0.01,0.06754436334013518,11,False
RWTH,0.01,0.005,0.06547936843656717,0.01,0.06732806106528567,11,False
SDU,0.01,0.005,0.07849997774376644,0.01,0.08161256401289058,11,False
SNL,0.01,0.005,0.06835605383114371,0.01,0.07005713204659719,11,False
UL_PUR,0.01,0.005,0.07009159139876558,0.01,0.07196202385888982,11,False
XJTU,0.01,0.005,0.06591882155600916,0.01,0.06770116250640397,11,False
