domain,v361_pchp_mae,v327_pchp_mae,absolute_pchp_difference,pchp_matches,v361_baseline_mae,v327_baseline_mae,absolute_baseline_difference,baseline_matches,physical_cells_match
CALB,0.0404558735594708,0.0404558735594708,0.0,True,0.0503238648637604,0.0503238648637604,0.0,True,True
CALCE,0.0544686820115287,0.0544686820115287,0.0,True,0.0589638895418131,0.0589638895418131,0.0,True,True
HNEI,0.0570002011115926,0.0570002011115926,0.0,True,0.0652965005719518,0.0652965005719518,0.0,True,True
HUST,0.0308558340176351,0.0308558340176351,0.0,True,0.0339469241596217,0.0339469241596217,0.0,True,True
MATR,0.0494696776323124,0.0494696776323124,0.0,True,0.0507870307287322,0.0507870307287322,0.0,True,True
MICH,0.0969849615376293,0.0969849615376294,9.71445146547012e-17,True,0.1047285736160602,0.1047285736160602,0.0,True,True
MICH_EXP,0.084649386237886,0.084649386237886,0.0,True,0.0905120758588686,0.0905120758588686,0.0,True,True
RWTH,0.1453074741276922,0.1453074741276922,0.0,True,0.1442151561833092,0.1442151561833092,0.0,True,True
SDU,0.0652870446274347,0.0652870446274347,0.0,True,0.0679263095683954,0.0679263095683954,0.0,True,True
SNL,0.0666876259017461,0.0666876259017461,0.0,True,0.0701726264995628,0.0701726264995628,0.0,True,True
UL_PUR,0.0371502208082563,0.0371502208082563,0.0,True,0.0403225860241358,0.0403225860241358,0.0,True,True
XJTU,0.1162131641901415,0.1162131641901415,0.0,True,0.1256821400329914,0.1256821400329914,0.0,True,True
