domain,budget_normalized_auc_pchp_minus_control,budget_normalized_auc_pchp_minus_baseline
CALB,-0.0011390384177998236,-0.01370000541820474
CALCE,-0.01215176302360705,-0.005405153417304656
HNEI,-0.021393506164884737,-0.011755923861043661
HUST,-0.005554721840284409,-0.0030935260306943985
MATR,0.005877778661094527,-0.0004677008509841394
MICH,-0.003723513965489778,-0.00930871032553298
MICH_EXP,-0.009027729633352822,-0.007146304641304597
RWTH,-0.001111476857154041,0.0018768638879758889
SDU,-0.0004567925808870818,-0.0024092086122678297
SNL,-0.007954138940717845,-0.004892467563390548
UL_PUR,-0.010881788663120935,-0.0034864760890159717
XJTU,-0.015790074005368457,-0.014037116773319
