outer_target_domain,budget,selected_control_alpha,selected_exact_constant_offset,selected_inner_domain_equal_control_mae,minimum_baseline_distance_to_range_boundary,inner_domains,outer_target_labels_used_for_selection
CALB,0.0,0.01,0.0,0.07700376836179508,0.229127436666805,11,False
CALB,0.0025,0.01,0.0025,0.07656859152280365,0.229127436666805,11,False
CALB,0.005,0.01,0.005,0.07621495809731317,0.229127436666805,11,False
CALB,0.0075,0.01,0.0075,0.07593147464194197,0.229127436666805,11,False
CALB,0.01,0.01,0.01,0.07571804185432329,0.229127436666805,11,False
CALB,0.015,0.015,0.015,0.07545407774678062,0.2126192990469499,11,False
CALB,0.02,0.015,0.02,0.0752068894954898,0.2126192990469499,11,False
CALB,0.03,0.015,0.02081124333764628,0.07520074304204724,0.2126192990469499,11,False
CALCE,0.0,0.005,0.0,0.07631918995192313,0.27789655286714887,11,False
CALCE,0.0025,0.005,0.0025,0.07584001747543696,0.27789655286714887,11,False
CALCE,0.005,0.005,0.005,0.07543358983340277,0.27789655286714887,11,False
CALCE,0.0075,0.005,0.0075,0.07510730602150173,0.27789655286714887,11,False
CALCE,0.01,0.005,0.01,0.07486842276791333,0.27789655286714887,11,False
CALCE,0.015,0.005,0.014938693116661628,0.07467541638473102,0.27789655286714887,11,False
CALCE,0.02,0.005,0.014938693116661628,0.07467541638473102,0.27789655286714887,11,False
CALCE,0.03,0.005,0.014938693116661628,0.07467541638473102,0.27789655286714887,11,False
HNEI,0.0,0.005,0.0,0.07934878924703495,0.28153171727917425,11,False
HNEI,0.0025,0.005,0.0025,0.07879123889696679,0.28153171727917425,11,False
HNEI,0.005,0.005,0.005,0.07831921336265976,0.28153171727917425,11,False
HNEI,0.0075,0.005,0.0075,0.07794493778835866,0.28153171727917425,11,False
HNEI,0.01,0.005,0.01,0.077673191257929,0.28153171727917425,11,False
HNEI,0.015,0.005,0.015,0.07743037391342833,0.28153171727917425,11,False
HNEI,0.02,0.005,0.015391472163587383,0.07742905248549986,0.28153171727917425,11,False
HNEI,0.03,0.005,0.015391472163587383,0.07742905248549986,0.28153171727917425,11,False
HUST,0.0,0.01,0.0,0.07583218626860833,0.28251660764857456,11,False
HUST,0.0025,0.01,0.0025,0.07549489149137394,0.28251660764857456,11,False
HUST,0.005,0.015,0.005,0.07513476226088805,0.27730616624348053,11,False
HUST,0.0075,0.015,0.0075,0.07475748604908826,0.27730616624348053,11,False
HUST,0.01,0.015,0.01,0.07444167644361607,0.27730616624348053,11,False
HUST,0.015,0.02,0.015,0.0740853986305391,0.24183924337774423,11,False
HUST,0.02,0.02,0.02,0.07383865120071015,0.24183924337774423,11,False
HUST,0.03,0.03,0.027491178529702398,0.07374852513407217,0.20828624076096705,11,False
MATR,0.0,0.015,0.0,0.0761067615754937,0.2716265904221483,11,False
MATR,0.0025,0.015,0.0025,0.07571005791680746,0.2716265904221483,11,False
MATR,0.005,0.015,0.005,0.07537876409360338,0.2716265904221483,11,False
MATR,0.0075,0.015,0.0075,0.07511307317812763,0.2716265904221483,11,False
