outer_target_domain,budget,selected_pchp_alpha,selected_inner_domain_equal_pchp_mae,inner_domains,outer_target_labels_used_for_selection
CALB,0.0,0.01,0.07700376836179507,11,False
CALB,0.0025,0.01,0.07579192558577162,11,False
CALB,0.005,0.01,0.07472724821886517,11,False
CALB,0.0075,0.01,0.07378858833858425,11,False
CALB,0.01,0.01,0.0729681431951757,11,False
CALB,0.015,0.01,0.07162391967472023,11,False
CALB,0.02,0.01,0.07062353768582956,11,False
CALB,0.03,0.01,0.06939323812362663,11,False
CALCE,0.0,0.005,0.07631918995192313,11,False
CALCE,0.0025,0.005,0.07513795938130857,11,False
CALCE,0.005,0.005,0.07406008674573511,11,False
CALCE,0.0075,0.005,0.07308004272778462,11,False
CALCE,0.01,0.005,0.07218681628436638,11,False
CALCE,0.015,0.005,0.07065351209430043,11,False
CALCE,0.02,0.005,0.06939784146687865,11,False
CALCE,0.03,0.005,0.06775883291782364,11,False
HNEI,0.0,0.005,0.07934878924703494,11,False
HNEI,0.0025,0.005,0.07818431186318603,11,False
HNEI,0.005,0.005,0.07713578641208668,11,False
HNEI,0.0075,0.005,0.07616867780504717,11,False
HNEI,0.01,0.005,0.07528403408350554,11,False
HNEI,0.015,0.005,0.07381715069858384,11,False
HNEI,0.02,0.005,0.07268661925073516,11,False
HNEI,0.03,0.005,0.07106383785875106,11,False
HUST,0.0,0.01,0.07583218626860834,11,False
HUST,0.0025,0.01,0.07452029300159825,11,False
HUST,0.005,0.01,0.07331252905314269,11,False
HUST,0.0075,0.01,0.07220621894213312,11,False
HUST,0.01,0.01,0.07118881936376543,11,False
HUST,0.015,0.01,0.06938524226152787,11,False
HUST,0.02,0.01,0.06791962615235908,11,False
HUST,0.03,0.01,0.06591858826099342,11,False
MATR,0.0,0.015,0.0761067615754937,11,False
MATR,0.0025,0.015,0.07493697321647282,11,False
MATR,0.005,0.015,0.07382585604250731,11,False
MATR,0.0075,0.015,0.0727899950567892,11,False
MATR,0.01,0.015,0.07183463839146935,11,False
MATR,0.015,0.01,0.0699566300930765,11,False
MATR,0.02,0.01,0.06835053317857473,11,False
MATR,0.03,0.01,0.06617916843222296,11,False
MICH,0.0,0.015,0.06925326958216217,11,False
MICH,0.0025,0.015,0.06818145037733402,11,False
MICH,0.005,0.015,0.06722513664722951,11,False
MICH,0.0075,0.015,0.06636706179544517,11,False
MICH,0.01,0.015,0.06559338845241357,11,False
MICH,0.015,0.015,0.06427769635647194,11,False
MICH,0.02,0.015,0.06324431592364878,11,False
MICH,0.03,0.01,0.061997728754634655,11,False
MICH_EXP,0.0,0.01,0.07098501685935955,11,False
MICH_EXP,0.0025,0.01,0.06997316075050942,11,False
MICH_EXP,0.005,0.01,0.06907302917820755,11,False
MICH_EXP,0.0075,0.01,0.06826879360757003,11,False
MICH_EXP,0.01,0.01,0.06754436334013518,11,False
MICH_EXP,0.015,0.01,0.06631206454527735,11,False
MICH_EXP,0.02,0.01,0.06533796469695652,11,False
MICH_EXP,0.03,0.01,0.06408777717695448,11,False
RWTH,0.0,0.01,0.07217687884070992,11,False
RWTH,0.0025,0.01,0.07082625879211742,11,False
RWTH,0.005,0.01,0.06955696421805783,11,False
RWTH,0.0075,0.01,0.06839256276905106,11,False
RWTH,0.01,0.01,0.06732806106528566,11,False
RWTH,0.015,0.01,0.06547729538649151,11,False
RWTH,0.02,0.01,0.063885290846939,11,False
RWTH,0.03,0.01,0.06156305234112549,11,False
SDU,0.0,0.01,0.08518943379486903,11,False
SDU,0.0025,0.01,0.08410751820703875,11,False
SDU,0.005,0.01,0.08316746433317905,11,False
SDU,0.0075,0.01,0.08234178752749169,11,False
SDU,0.01,0.01,0.08161256401289058,11,False
SDU,0.015,0.01,0.08039170825356687,11,False
SDU,0.02,0.01,0.07945196330978638,11,False
SDU,0.03,0.005,0.07731912481153573,11,False
SNL,0.0,0.01,0.07538059854607883,11,False
SNL,0.0025,0.01,0.07395858304567395,11,False
SNL,0.005,0.01,0.0725961931810275,11,False
SNL,0.0075,0.01,0.0712924988794712,11,False
SNL,0.01,0.01,0.07005713204659719,11,False
SNL,0.015,0.01,0.06783763727866349,11,False
SNL,0.02,0.01,0.06596176470212992,11,False
SNL,0.03,0.01,0.06314109020482779,11,False
UL_PUR,0.0,0.01,0.07665889832664913,11,False
UL_PUR,0.0025,0.01,0.07534135968602351,11,False
UL_PUR,0.005,0.01,0.07414226299823388,11,False
UL_PUR,0.0075,0.01,0.073018945759413,11,False
UL_PUR,0.01,0.01,0.07196202385888982,11,False
UL_PUR,0.015,0.01,0.07008718495013093,11,False
UL_PUR,0.02,0.01,0.06874887759812862,11,False
UL_PUR,0.03,0.01,0.06702449402142006,11,False
XJTU,0.0,0.01,0.07163127499028768,11,False
XJTU,0.0025,0.01,0.07050263176095536,11,False
XJTU,0.005,0.01,0.06947933434961552,11,False
XJTU,0.0075,0.01,0.06854824348299587,11,False
XJTU,0.01,0.01,0.06770116250640398,11,False
XJTU,0.015,0.01,0.06625703663052095,11,False
XJTU,0.02,0.01,0.065166128356199,11,False
XJTU,0.03,0.01,0.06394174766947405,11,False
