outer_target_domain,selected_control_alpha,selected_control_offset,selected_inner_domain_equal_cell_macro_mae,inner_domains,outer_target_labels_used_for_selection
CALB,0.01,0.01,0.0757180418543233,11,False
CALCE,0.005,0.01,0.07486842276791332,11,False
HNEI,0.005,0.01,0.07767319125792899,11,False
HUST,0.015,0.01,0.07444167644361604,11,False
MATR,0.02,0.01,0.07481746333882903,11,False
MICH,0.02,0.01,0.06807873853590517,11,False
MICH_EXP,0.015,0.01,0.0693048379416303,11,False
RWTH,0.015,0.01,0.07052399258613323,11,False
SDU,0.01,0.01,0.08318083037555318,11,False
SNL,0.015,0.01,0.07351834503374037,11,False
UL_PUR,0.01,0.01,0.0747179942081046,11,False
XJTU,0.015,0.01,0.06996911140112186,11,False
