domain,cell_id,pchp_cell_mae,control_cell_mae,prediction_rows,pchp_minus_control
CALB,CALB/CALB_0_B182,0.07003014673903026,0.07003014673903026,94,0.0
CALB,CALB/CALB_0_B183,0.05770406334881683,0.05770406334881683,94,0.0
CALB,CALB/CALB_0_B184,0.041911582019399186,0.041911582019399186,94,0.0
CALB,CALB/CALB_0_B185,0.04306061688227798,0.04306061688227798,94,0.0
CALB,CALB/CALB_0_B187,0.041567288756802205,0.041567288756802205,94,0.0
CALB,CALB/CALB_0_B188,0.0429808877905068,0.04122306604454488,202,0.0017578217459619239
CALB,CALB/CALB_0_B189,0.03763322389519368,0.03763322389519368,94,0.0
CALB,CALB/CALB_0_B190,0.06578534815835356,0.06578534815835356,94,0.0
CALB,CALB/CALB_25_T25-1,0.01606502386344885,0.014357620726221336,93,0.001707403137227512
CALB,CALB/CALB_25_T25-2,0.020837987328008303,0.020837987328008303,93,0.0
CALB,CALB/CALB_35_B173,0.021462324566620897,0.021462324566620897,93,0.0
CALB,CALB/CALB_35_B174,0.023853043654186855,0.023853043654186855,93,0.0
CALB,CALB/CALB_35_B175,0.0254695509229138,0.0254695509229138,93,0.0
CALB,CALB/CALB_35_B222,0.0222521733398143,0.0222521733398143,93,0.0
CALB,CALB/CALB_35_B223,0.02088901944807743,0.02088901944807743,93,0.0
CALB,CALB/CALB_35_B224,0.02060874554834509,0.02060874554834509,93,0.0
CALB,CALB/CALB_35_B227,0.022058733367756406,0.022058733367756406,93,0.0
CALB,CALB/CALB_35_B228,0.024909936998452814,0.024909936998452814,93,0.0
CALB,CALB/CALB_35_B229,0.022223286857123044,0.022223286857123044,93,0.0
CALB,CALB/CALB_35_B230,0.021807123015082794,0.021807123015082794,93,0.0
CALB,CALB/CALB_35_B247,0.26446724160021295,0.26446724160021295,93,0.0
CALB,CALB/CALB_35_B248,0.02389266888742181,0.02389266888742181,93,0.0
CALB,CALB/CALB_35_B249,0.023141412972176187,0.023141412972176187,93,0.0
CALB,CALB/CALB_35_B250,0.021498502492424604,0.021498502492424604,93,0.0
CALB,CALB/CALB_45_B253,0.02988940194040863,0.02988940194040863,94,0.0
CALB,CALB/CALB_45_B255,0.03277358257657285,0.03277358257657285,94,0.0
CALB,CALB/CALB_45_B256,0.03353566913628378,0.03353566913628378,93,0.0
CALCE,CALCE/CALCE_CS2_33,0.07376492171129159,0.09146633174189536,655,-0.01770141003060377
CALCE,CALCE/CALCE_CS2_34,0.03492539423555545,0.052336965117362806,627,-0.017411570881807358
CALCE,CALCE/CALCE_CS2_35,0.06915408810097455,0.08391860100655012,775,-0.014764512905575566
CALCE,CALCE/CALCE_CS2_36,0.0914648536184324,0.10692644744368482,827,-0.015461593825252418
CALCE,CALCE/CALCE_CS2_37,0.0758602253100844,0.08943618692678516,900,-0.013575961616700757
CALCE,CALCE/CALCE_CS2_38,0.06941753375357121,0.0837533681046934,898,-0.014335834351122193
CALCE,CALCE/CALCE_CX2_16,0.05869905169603193,0.04840238891405217,1274,0.010296662781979757
CALCE,CALCE/CALCE_CX2_33,0.0327769009580337,0.0265014995779145,1266,0.0062754013801192
CALCE,CALCE/CALCE_CX2_34,0.038177494127525996,0.052061915217967145,1358,-0.013884421090441149
CALCE,CALCE/CALCE_CX2_35,0.030563204927019583,0.03249491125866021,1449,-0.00193170633164063
CALCE,CALCE/CALCE_CX2_36,0.04525576826907221,0.05901696026406384,1563,-0.01376119199499163
CALCE,CALCE/CALCE_CX2_37,0.027004815245319294,0.040648712589857756,1067,-0.013643897344538462
CALCE,CALCE/CALCE_CX2_38,0.06102861419696096,0.07452504195574465,1574,-0.013496427758783687
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,0.1950198232796921,0.18859276869799407,1081,0.0064270545816980384
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,0.0363179659179355,0.05152815007657971,1074,-0.01521018415864421
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,0.04801908523774518,0.06715851563582305,1076,-0.019139430398077868
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,0.04986470110894942,0.06899470930096457,1076,-0.01913000819201515
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,0.049485105549845074,0.06883214056161119,1101,-0.019347035011766114
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,0.06608543612018546,0.08533204255014853,1069,-0.01924660642996308
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,0.06522661194844741,0.0845642973039564,1076,-0.01933768535550899
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,0.05020447738064435,0.06945957954155989,1070,-0.01925510216091554
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,0.05807625731751218,0.07733632499686187,1076,-0.019260067679349686
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,0.0454223919858696,0.06477303597918392,1076,-0.01935064399331432
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,0.018467847401187648,0.033503378869235725,1076,-0.015035531468048077
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,0.017449436138717044,0.03539142920955477,1074,-0.017941993070837728
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,0.0495773206776847,0.0687883934094712,1082,-0.019211072731786495
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,0.04878635549788121,0.0670961394430897,1078,-0.01830978394520849
HUST,HUST/HUST_1-1,0.019474125475966043,0.02382129061521774,1499,-0.004347165139251697
HUST,HUST/HUST_1-2,0.029370141617554458,0.033221267316644765,2673,-0.003851125699090307
