domain,pchp_cell_macro_mae,control_cell_macro_mae,physical_cells,prediction_rows,pchp_minus_control
CALB,0.040455873559470806,0.04032753189713046,27,2629,0.00012834166234034633
CALCE,0.05446868201152872,0.06472994847071015,13,14233,-0.010261266459181427
HNEI,0.05700020111159264,0.07366792182685962,14,15085,-0.01666772071526698
HUST,0.030855834017635142,0.034263449473625966,77,145735,-0.003407615455990824
MATR,0.0494696776323124,0.045231915881889316,169,139148,0.004237761750423084
MICH,0.0969849615376294,0.10190234762483734,40,19681,-0.004917386087207945
MICH_EXP,0.08464938623788601,0.0916210703493101,18,6455,-0.006971684111424084
RWTH,0.1453074741276922,0.14626563559703581,48,105140,-0.0009581614693436047
SDU,0.06528704462743475,0.06204301885016163,86,48716,0.0032440257772731185
SNL,0.06668762590174612,0.07085329683842721,61,96092,-0.00416567093668109
UL_PUR,0.03715022080825636,0.04548190303923129,10,2195,-0.008331682230974927
XJTU,0.11621316419014152,0.12541964825215576,23,6823,-0.009206484062014242
