alpha,domain,baseline_cell_macro_mae,method_cell_macro_mae,physical_cells,prediction_rows,method_minus_baseline
1.0,CALB,0.06473827739866744,0.05474194443203744,27,2629,-0.009996332966630002
1.0,CALCE,0.4507813298877968,0.44309719825615446,13,14233,-0.0076841316316423325
1.0,HNEI,0.3319009579741675,0.32557111874750905,14,15085,-0.0063298392266584735
1.0,HUST,0.03407558309555751,0.030181488341209883,77,145735,-0.0038940947543476302
1.0,MATR,0.06220618946168993,0.05969794448820467,169,139148,-0.0025082449734852644
1.0,MICH,0.0903745943930683,0.08191277377014526,40,19681,-0.008461820622923041
1.0,MICH_EXP,0.21086299719223497,0.2043901447456436,18,6455,-0.006472852446591376
1.0,RWTH,0.14756433165700808,0.14817278928587765,48,105140,0.0006084576288695742
1.0,SDU,0.0934002282025614,0.08675468242039697,86,48716,-0.006645545782164433
1.0,SNL,0.05916930465870152,0.056849157231529425,61,96092,-0.002320147427172098
1.0,UL_PUR,0.034557706806940265,0.03570182043394026,10,2195,0.0011441136269999957
1.0,XJTU,0.16821609183216,0.1582453178283993,23,6823,-0.009970774003760702
0.5,CALB,0.06388741455245515,0.05389108158582515,27,2629,-0.009996332966630002
0.5,CALCE,0.2950477202086032,0.29166669217052965,13,14233,-0.0033810280380735525
0.5,HNEI,0.2309349059008706,0.23626787759795373,14,15085,0.005332971697083133
0.5,HUST,0.03403714906902046,0.030168361241674737,77,145735,-0.0038687878273457217
0.5,MATR,0.060945756726395,0.058382694007415276,169,139148,-0.002563062718979728
0.5,MICH,0.09093168367530073,0.08245640316675003,40,19681,-0.008475280508550703
0.5,MICH_EXP,0.1493950287001806,0.14669818017112535,18,6455,-0.0026968485290552457
0.5,RWTH,0.14756795040139964,0.14819512639414414,48,105140,0.0006271759927445053
0.5,SDU,0.09160577553175937,0.08510362392101777,86,48716,-0.006502151610741608
0.5,SNL,0.059495607954474464,0.057144415627334744,61,96092,-0.00235119232713972
0.5,UL_PUR,0.03432076680848934,0.03544651353335677,10,2195,0.0011257467248674269
0.5,XJTU,0.16702592307150943,0.15705935493343573,23,6823,-0.0099665681380737
0.2,CALB,0.06218054254788719,0.05218420958125719,27,2629,-0.009996332966630002
0.2,CALCE,0.13101218527008482,0.13719002285446205,13,14233,0.006177837584377233
0.2,HNEI,0.11998399219314013,0.12320068862316148,14,15085,0.003216696430021357
0.2,HUST,0.03399570334547837,0.03016323584147188,77,145735,-0.003832467504006492
0.2,MATR,0.0592250752099448,0.05671079829478546,169,139148,-0.00251427691515934
0.2,MICH,0.09256161921719137,0.08407581833217033,40,19681,-0.008485800885021044
0.2,MICH_EXP,0.11090157176619221,0.10832988299654173,18,6455,-0.0025716887696504848
0.2,RWTH,0.14755011840880136,0.148202322502707,48,105140,0.0006522040939056506
0.2,SDU,0.08942118808863841,0.0830794103264343,86,48716,-0.006341777762204112
0.2,SNL,0.06004910617616714,0.057550077483484945,61,96092,-0.0024990286926821967
0.2,UL_PUR,0.03397306828270716,0.03508209106184938,10,2195,0.0011090227791422241
0.2,XJTU,0.1645400463299799,0.1545837410854169,23,6823,-0.009956305244563007
0.1,CALB,0.06025567973727904,0.05025934677064904,27,2629,-0.009996332966630002
0.1,CALCE,0.07139707820378954,0.07687265337724015,13,14233,0.005475575173450611
0.1,HNEI,0.07159118930001059,0.07552292897237586,14,15085,0.003931739672365278
0.1,HUST,0.033977790035826794,0.030177329761898807,77,145735,-0.0038004602739279865
0.1,MATR,0.05757350658259686,0.05524152859060596,169,139148,-0.002331977991990905
0.1,MICH,0.09479345745121877,0.08635134705037113,40,19681,-0.008442110400847636
0.1,MICH_EXP,0.10084724800977245,0.09727787701621043,18,6455,-0.0035693709935620127
0.1,RWTH,0.14745486359911772,0.14813361486756546,48,105140,0.0006787512684477415
0.1,SDU,0.0875646071573602,0.08143255844058155,86,48716,-0.006132048716778651
0.1,SNL,0.06075911472346322,0.05814718242751567,61,96092,-0.0026119322959475555
0.1,UL_PUR,0.03368000812003366,0.034692437341462615,10,2195,0.0010124292214289538
0.1,XJTU,0.16122714055193363,0.1512837675476168,23,6823,-0.00994337300431683
0.05,CALB,0.05751806524091699,0.047521732274286986,27,2629,-0.009996332966630002
0.05,CALCE,0.05274640585663984,0.05532994635758896,13,14233,0.0025835405009491247
0.05,HNEI,0.05008930592492071,0.05258007869783359,14,15085,0.0024907727729128817
0.05,HUST,0.03397572687490638,0.03022619028243358,77,145735,-0.003749536592472801
0.05,MATR,0.05553425866894254,0.05352112851070342,169,139148,-0.002013130158239125
0.05,MICH,0.09797102849740844,0.08963685605671884,40,19681,-0.008334172440689597
0.05,MICH_EXP,0.09741366739969504,0.09276888077209869,18,6455,-0.004644786627596348
0.05,RWTH,0.14711742322677773,0.14785001146159274,48,105140,0.000732588234815007
0.05,SDU,0.08470440695298026,0.07908136216872608,86,48716,-0.005623044784254183
0.05,SNL,0.06195281760764129,0.059215672173219075,61,96092,-0.002737145434422217
0.05,UL_PUR,0.03359675960371293,0.034033296968645016,10,2195,0.0004365373649320853
0.05,XJTU,0.15556910854663078,0.14564904311956625,23,6823,-0.009920065427064528
0.03,CALB,0.05508118005859011,0.04508484891164591,27,2629,-0.009996331146944204
0.03,CALCE,0.04865840035445617,0.04936650906820991,13,14233,0.0007081087137537426
0.03,HNEI,0.04213984010833422,0.04375108594134956,14,15085,0.0016112458330153415
0.03,HUST,0.033977322690641146,0.030310002472167648,77,145735,-0.003667320218473498
0.03,MATR,0.05377467607747731,0.052034407100356145,169,139148,-0.001740268977121165
0.03,MICH,0.1007263618369092,0.09253641944597199,40,19681,-0.008189942390937205
0.03,MICH_EXP,0.09499131158376821,0.09022323776123259,18,6455,-0.004768073822535621
0.03,RWTH,0.14657807707522066,0.1473860871686739,48,105140,0.000808010093453243
0.03,SDU,0.08129614186496377,0.07629819136421986,86,48716,-0.004997950500743906
0.03,SNL,0.06342710402510889,0.060579947627867024,61,96092,-0.002847156397241861
0.03,UL_PUR,0.03419512290986345,0.03366465972384004,10,2195,-0.0005304631860234069
0.03,XJTU,0.14889040019044814,0.13900855765463352,23,6823,-0.009881842535814617
0.02,CALB,0.05314096400271278,0.04314468591723255,27,2629,-0.009996278085480231
0.02,CALCE,0.04759681654150448,0.04713812448661654,13,14233,-0.00045869205488793807
0.02,HNEI,0.03685168712911476,0.03778107393969162,14,15085,0.0009293868105768599
0.02,HUST,0.033979706320050006,0.030435262499191814,77,145735,-0.0035444438208581917
0.02,MATR,0.05214553622429052,0.05063900967957116,169,139148,-0.001506526544719361
0.02,MICH,0.10300213249123662,0.09500241792415692,40,19681,-0.007999714567079694
0.02,MICH_EXP,0.09278843510389846,0.08795933220968954,18,6455,-0.004829102894208917
0.02,RWTH,0.14591246116387352,0.1468061414250855,48,105140,0.0008936802612119765
0.02,SDU,0.07748161447442951,0.07320535104073672,86,48716,-0.004276263433692792
0.02,SNL,0.06518623392034605,0.06224674103763174,61,96092,-0.0029394928827143063
0.02,UL_PUR,0.03547941627535462,0.03409929921910048,10,2195,-0.0013801170562541404
0.02,XJTU,0.14161276769089434,0.13179783988120733,23,6823,-0.009814927809687013
0.015,CALB,0.05187123845879412,0.04188411402373706,27,2629,-0.00998712443505706
0.015,CALCE,0.04766419142585027,0.04651401274193608,13,14233,-0.0011501786839141909
0.015,HNEI,0.0343901818847412,0.033843380706912736,14,15085,-0.0005468011778284668
0.015,HUST,0.033967152833837194,0.03056357818898326,77,145735,-0.0034035746448539336
0.015,MATR,0.05078703072873228,0.0494696776323124,169,139148,-0.0013173530964198793
0.015,MICH,0.10472857361606029,0.0969849615376294,40,19681,-0.007743612078430898
0.015,MICH_EXP,0.09149920183033461,0.08645388229869938,18,6455,-0.005045319531635228
0.015,RWTH,0.145298597106445,0.14626563559703581,48,105140,0.0009670384905908214
0.015,SDU,0.07401560530591608,0.07039895408165758,86,48716,-0.003616651224258499
0.015,SNL,0.06687929381878323,0.06379244040059329,61,96092,-0.0030868534181899415
0.015,UL_PUR,0.03719561989673467,0.034985336608699645,10,2195,-0.0022102832880350268
0.015,XJTU,0.13541624443158465,0.12568705331003707,23,6823,-0.009729191121547576
0.01,CALB,0.05032386486376047,0.040455873559470806,27,2629,-0.009867991304289662
0.01,CALCE,0.049302814775385014,0.04685013167979523,13,14233,-0.0024526830955897833
0.01,HNEI,0.03591374288889523,0.03226131949049515,14,15085,-0.0036524233984000787
0.01,HUST,0.03394692415962171,0.030855834017635142,77,145735,-0.003091090141986566
0.01,MATR,0.048498260637886426,0.04749856673659256,169,139148,-0.0009996939012938688
0.01,MICH,0.10778760313066224,0.10089164373744171,40,19681,-0.006895959393220533
0.01,MICH_EXP,0.09051207585886864,0.08464938623788601,18,6455,-0.005862689620982631
0.01,RWTH,0.14421515618330924,0.1453074741276922,48,105140,0.00109231794438297
0.01,SDU,0.0679263095683954,0.06528704462743475,86,48716,-0.002639264940960659
0.01,SNL,0.07017262649956282,0.06668762590174612,61,96092,-0.003485000597816701
0.01,UL_PUR,0.04032258602413584,0.03715022080825636,10,2195,-0.0031723652158794774
0.01,XJTU,0.12568214003299147,0.11621316419014152,23,6823,-0.009468975842849947
0.005,CALB,0.0485065920235928,0.0387247515779558,27,2629,-0.009781840445637
0.005,CALCE,0.058963889541813155,0.05446868201152872,13,14233,-0.0044952075302844355
0.005,HNEI,0.06529650057195181,0.05700020111159264,14,15085,-0.008296299460359174
