alpha,domain_equal_method_cell_macro_mae,domain_equal_baseline_cell_macro_mae,domain_equal_method_minus_baseline,domain_wins,domain_ties,domain_losses,maximum_domain_harm,maximum_absolute_displacement,maximum_observed_absolute_loss_regret,baseline_trajectories_nonincreasing,method_trajectories_nonincreasing,deterministic_certificate_numerically_verified
1.0,0.14044303166508734,0.14565396604671282,-0.005210934381625482,10,0,2,0.0011441136269999957,0.010000000000000009,0.010000000000000009,True,True,True
0.5,0.11520669369588027,0.11876630688337149,-0.003559613187491243,9,0,3,0.005332971697083133,0.010000000000000009,0.010000000000000064,True,True,True
0.2,0.08919602491531188,0.09211618473635108,-0.0029201598210391844,8,0,4,0.006177837584377233,0.010000000000000009,0.010000000000000009,True,True,True
0.1,0.07878271434700779,0.08176014028936689,-0.0029774259423590833,8,0,4,0.005475575173450611,0.010000000000000009,0.010000000000000009,True,True,True
0.05,0.0739511832369511,0.07734908120009773,-0.0033978979631466414,8,0,4,0.0025835405009491247,0.010000000000000009,0.010000000000000009,True,True,True
0.03,0.07168699618668067,0.0753113282313151,-0.0036243320446344295,9,0,3,0.0016112458330153415,0.010000000000000009,0.010000000000000009,True,True,True
0.02,0.07002127327165933,0.07376481427814215,-0.0037435410064828125,10,0,2,0.0009293868105768599,0.010000000000000009,0.010000000000000009,True,True,True
0.015,0.06890358559401948,0.0728094109448178,-0.003905825350798323,11,0,1,0.0009670384905908214,0.010000000000000009,0.010000000000000037,True,True,True
0.01,0.06784235709288229,0.0720503420519562,-0.004207984959073911,11,0,1,0.00109231794438297,0.010000000000000009,0.010000000000000009,True,True,True
0.005,0.0699241185939216,0.07441325658356791,-0.004489137989646308,11,0,1,0.0015539511748187962,0.010000000000000009,0.010000000000000009,True,True,True
