cell_id,prediction_rows,baseline_cell_mae,method_cell_mae,raw_baseline_cell_mae,raw_candidate_cell_mae,method_minus_baseline
B0005,162,0.19170309867397392,0.19121418651567096,0.3151798410366678,0.16642608601501502,-0.0004889121583029621
B0006,162,0.12157979447861314,0.13006848868396992,0.27506806193405514,0.13916132030345613,0.008488694205356778
B0007,162,0.19114600988966113,0.18909046321755987,0.30146389204491475,0.15474173721283893,-0.002055546672101255
B0018,127,0.14396656650602022,0.14947350517876287,0.24958335160140133,0.08757155171060998,0.005506938672742656
B0025,23,0.26512568683381327,0.27034962904548626,0.33669655230258555,0.15745728425600183,0.005223942211672994
B0026,23,0.2801515895918111,0.28595192853847456,0.34016673447404383,0.17300689347694043,0.005800338946663486
B0027,23,0.4534650746284734,0.4486496509217197,0.46962548022224326,0.3232976879493902,-0.0048154237067536965
B0028,23,0.25337476100011613,0.2592430273703403,0.32924617822401847,0.16253450848483766,0.00586826637022414
B0029,34,0.1997132296284302,0.18971322962843018,0.26833489261025606,0.10050561273262007,-0.010000000000000009
B0030,34,0.20408529171814538,0.19408529171814534,0.2815465922361472,0.10239385843622255,-0.010000000000000037
B0031,34,0.2265154173419983,0.21651541734199828,0.2872795622627228,0.10139894048159348,-0.010000000000000009
B0032,34,0.22296596388718223,0.21296596388718225,0.3038060112079102,0.12767963582673483,-0.009999999999999981
B0033,191,0.795283183318563,0.7860157982941964,0.7208109105980747,0.5743814332608865,-0.009267385024366526
B0034,191,0.41175393144303374,0.40175393144303373,0.42323036198354375,0.2262052195344643,-0.010000000000000009
B0036,191,0.3998171322054581,0.3898171322054581,0.37866938202285416,0.2039660949913313,-0.010000000000000009
B0038,41,1.2252244646824173,1.215224464682417,0.9611380542495207,0.8005379063297094,-0.010000000000000231
B0039,41,3.0448623745276353,3.034862374527635,2.6641126335558867,2.4926871352183118,-0.010000000000000231
B0040,41,1.672567295888619,1.6625672958886193,1.3675286958319885,1.2050650630001165,-0.009999999999999787
B0041,61,7.348687081420395,7.338687081420395,7.316527285630557,6.935125115472084,-0.009999999999999787
B0042,106,0.4032852188146777,0.40379953584225514,0.33239119457811933,0.305950444710386,0.0005143170275774267
B0043,106,0.40319668320452406,0.40201411214805444,0.26789968687175875,0.2618982011742332,-0.001182571056469628
B0044,106,0.40971146029055533,0.4032839156235176,0.30222580098793367,0.31126954398310946,-0.00642754466703771
B0045,64,0.5611784268958041,0.5511784268958041,0.5712601519553898,0.2649276830079559,-0.010000000000000009
B0046,63,0.46700222575068545,0.4570022257506854,0.4758928270926885,0.2584586927658474,-0.010000000000000064
B0047,63,0.48882198424609835,0.4788219842460984,0.5087369995432293,0.2785133371745915,-0.009999999999999953
B0048,63,0.53192465062426,0.5219246506242599,0.5474172102496692,0.2940319203865677,-0.01000000000000012
B0049,18,0.27770658619147726,0.2677065861914773,0.28441664603016187,0.06799541962148518,-0.009999999999999953
B0050,14,0.3292785762906277,0.3279154379948629,0.3877318423766753,0.3515532986888364,-0.0013631382957647875
B0051,18,0.379484407761809,0.3694844077618089,0.35675343200741777,0.08640711577771047,-0.010000000000000064
B0053,49,0.6026062753121197,0.5926062753121197,0.5586547667969999,0.33150493093731687,-0.010000000000000009
B0054,96,0.549658069382432,0.539658069382432,0.5112652413910767,0.2871467391374045,-0.010000000000000009
B0055,96,0.5498524407178892,0.5398524407178892,0.5053641793678479,0.2790840594522253,-0.010000000000000009
B0056,96,0.6094560410131802,0.5994560410131803,0.5676373058764836,0.33036770607799976,-0.009999999999999898
