domain,method,physical_cells,cell_macro_mae,cell_macro_rmse,worst_cell_mae,mean_trajectory_increase_fraction,maximum_predicted_increase
CALB,offline_baseline,27,0.06307554980634002,0.06409591701784673,0.2853026645773781,0.0,0.0
CALB,offline_harm_capped,27,0.05307921683971001,0.05435436127776811,0.275302664577378,0.0,0.0
CALB,selected_causal_baseline,27,0.05032386486376047,0.05089370911418719,0.274467241600213,0.0,0.0
CALB,selected_causal_method,27,0.040455873559470806,0.041121950733578404,0.26446724160021295,0.0,0.0
CALCE,offline_baseline,13,0.04744148568137793,0.056549337435274225,0.09334713202724323,0.0,0.0
CALCE,offline_harm_capped,13,0.04324299839038152,0.052394772155788666,0.08408990856097158,0.0,0.0
CALCE,selected_causal_baseline,13,0.058963889541813155,0.09072521311591547,0.09737149938918878,0.0,0.0
CALCE,selected_causal_method,13,0.05446868201152872,0.08617831458460602,0.09146485361843242,0.0,0.0
HNEI,offline_baseline,14,0.040132226683274395,0.04756577921711986,0.06425681550021049,0.0,0.0
HNEI,offline_harm_capped,14,0.03509730198695387,0.04155970404559546,0.057057957403060446,0.0,0.0
HNEI,selected_causal_baseline,14,0.06529650057195181,0.07297034630155481,0.19381008286244755,0.0,0.0
HNEI,selected_causal_method,14,0.05700020111159264,0.06460691947855539,0.1950198232796921,0.0,0.0
HUST,offline_baseline,77,0.03508725044655907,0.046824910550574486,0.04940013780318563,0.0,0.0
HUST,offline_harm_capped,77,0.031149522985693172,0.04447402438169701,0.044973681732992966,0.0,0.0
HUST,selected_causal_baseline,77,0.03394692415962171,0.04745156459107496,0.0460310332772719,0.0,0.0
HUST,selected_causal_method,77,0.030855834017635142,0.04529451444740933,0.04331099307002203,0.0,0.0
MATR,offline_baseline,169,0.05590772179457557,0.062141638619564156,0.15919265347295783,0.0,0.0
MATR,offline_harm_capped,169,0.050314161113687916,0.056491298463974056,0.1510161132978705,0.0,0.0
MATR,selected_causal_baseline,169,0.05078703072873228,0.05818650235202305,0.15799338783071207,0.0,0.0
MATR,selected_causal_method,169,0.0494696776323124,0.05664401760654476,0.1520479185360799,0.0,0.0
MICH,offline_baseline,40,0.09174609719367052,0.12702459436462107,0.2350632220674739,0.0,0.0
MICH,offline_harm_capped,40,0.08321457549838203,0.12033748495402678,0.22558576827139093,0.0,0.0
MICH,selected_causal_baseline,40,0.10472857361606029,0.1696646764288494,0.292327858883106,0.0,0.0
MICH,selected_causal_method,40,0.0969849615376294,0.16393328001077295,0.2833153985767015,0.0,0.0
MICH_EXP,offline_baseline,18,0.09875740223664858,0.10775565700766769,0.15380163052328963,0.0,0.0
MICH_EXP,offline_harm_capped,18,0.09176324793445231,0.10089899359469519,0.14380163052328968,0.0,0.0
MICH_EXP,selected_causal_baseline,18,0.09051207585886864,0.1019719343328001,0.17414582901090161,0.0,0.0
MICH_EXP,selected_causal_method,18,0.08464938623788601,0.09632121951091782,0.1641458290109016,0.0,0.0
RWTH,offline_baseline,48,0.15259073857796593,0.1904150855854068,0.18981365521490914,0.0,0.0
RWTH,offline_harm_capped,48,0.15328445499754423,0.1948714722224084,0.1910929650425459,0.0,0.0
RWTH,selected_causal_baseline,48,0.14421515618330924,0.18519563747954262,0.18123863394554773,0.0,0.0
RWTH,selected_causal_method,48,0.1453074741276922,0.19039202662103116,0.18298946703661956,0.0,0.0
SDU,offline_baseline,86,0.08728796075897112,0.09439141211113626,0.16430576646981632,0.0,0.0
SDU,offline_harm_capped,86,0.08006034623482995,0.08681776711391119,0.15430576646981634,0.0,0.0
SDU,selected_causal_baseline,86,0.0679263095683954,0.07594856743420235,0.11422824868935716,0.0,0.0
SDU,selected_causal_method,86,0.06528704462743475,0.07287332966078602,0.10426434262152441,0.0,0.0
SNL,offline_baseline,61,0.06172841499241957,0.06992547085545142,0.18982916437434677,0.0,0.0
SNL,offline_harm_capped,61,0.05876859815541711,0.0662773848622723,0.18124343070028467,0.0,0.0
SNL,selected_causal_baseline,61,0.07017262649956282,0.07847426673788996,0.2595507573767612,0.0,0.0
SNL,selected_causal_method,61,0.06668762590174612,0.07444256233728352,0.2501275609389053,0.0,0.0
UL_PUR,offline_baseline,10,0.03463842497321516,0.043769149399491405,0.05607293541959432,0.0,0.0
UL_PUR,offline_harm_capped,10,0.03505557780430619,0.0417545494173033,0.04885727123236311,0.0,0.0
UL_PUR,selected_causal_baseline,10,0.04032258602413584,0.056299698408881806,0.07363274905563061,0.0,0.0
UL_PUR,selected_causal_method,10,0.03715022080825636,0.05078646398103066,0.06566385423143085,0.0,0.0
XJTU,offline_baseline,23,0.16263186635252222,0.16662997994844755,0.18165758207690957,0.0,0.0
XJTU,offline_harm_capped,23,0.15284857472758795,0.1569568846162131,0.17165758207690957,0.0,0.0
XJTU,selected_causal_baseline,23,0.12568214003299144,0.12805119054200248,0.14232818163064517,0.0,0.0
XJTU,selected_causal_method,23,0.11621316419014151,0.11849177032513081,0.13232818163064516,0.0,0.0
