outer_target_domain,selected_alpha,selected_inner_domain_equal_method_mae,selected_inner_domain_equal_baseline_mae,inner_domains,outer_target_labels_used_for_selection
CALB,0.01,0.0729681431951757,0.07700376836179507,11,False
CALCE,0.005,0.07218681628436639,0.07631918995192313,11,False
HNEI,0.005,0.07528403408350554,0.07934878924703495,11,False
HUST,0.01,0.07118881936376545,0.07583218626860834,11,False
MATR,0.015,0.07183463839146934,0.07610676157549369,11,False
MICH,0.015,0.06559338845241357,0.06925326958216219,11,False
MICH_EXP,0.01,0.0675443633401352,0.07098501685935955,11,False
RWTH,0.01,0.06732806106528566,0.07217687884070993,11,False
SDU,0.01,0.08161256401289058,0.08518943379486903,11,False
SNL,0.01,0.07005713204659719,0.07538059854607883,11,False
UL_PUR,0.01,0.07196202385888982,0.07665889832664913,11,False
XJTU,0.01,0.06770116250640397,0.07163127499028768,11,False
