cell_id,cell_mae,backbone,domain,method
CALB/CALB_0_B182,0.005387592055752062,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B183,0.007937030341907902,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B184,0.0032627878582535993,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B185,0.012154006096509245,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B187,0.012136035945983741,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B188,0.01705950056957397,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B189,0.013022978102829439,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B190,0.00787794288251219,hist_gradient_boosting,CALB,protected_state
CALB/CALB_25_T25-1,0.020697458699105085,hist_gradient_boosting,CALB,protected_state
CALB/CALB_25_T25-2,0.013611659750207327,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B173,0.008341553084711956,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B174,0.007587744707641656,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B175,0.00681895447865139,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B222,0.013520362043641466,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B223,0.008348510008665815,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B224,0.008803705569099677,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B227,0.008845771208397238,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B228,0.01067752999390871,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B229,0.009517961249017633,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B230,0.009927849399202682,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B247,0.054069859211557304,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B248,0.009952167233999254,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B249,0.006096353123774466,hist_gradient_boosting,CALB,protected_state
CALB/CALB_35_B250,0.008428357408355762,hist_gradient_boosting,CALB,protected_state
CALB/CALB_45_B253,0.02046877783600016,hist_gradient_boosting,CALB,protected_state
CALB/CALB_45_B255,0.02109774834514077,hist_gradient_boosting,CALB,protected_state
CALB/CALB_45_B256,0.024066737070540894,hist_gradient_boosting,CALB,protected_state
CALB/CALB_0_B182,0.013646855035267759,hist_gradient_boosting,CALB,pchp_method
CALB/CALB_0_B183,0.008918728823163252,hist_gradient_boosting,CALB,pchp_method
CALB/CALB_0_B184,0.010842806768884921,hist_gradient_boosting,CALB,pchp_method
CALB/CALB_0_B185,0.01595144787573087,hist_gradient_boosting,CALB,pchp_method
