backbone,domain,method,cell_macro_mae,physical_cells
hist_gradient_boosting,CALB,pchp_method,0.014718386827704488,27
hist_gradient_boosting,CALB,protected_state,0.012952479047220052,27
hist_gradient_boosting,CALB,raw_candidate,0.01412594284380176,27
hist_gradient_boosting,CALCE,pchp_method,0.06167073267228884,13
hist_gradient_boosting,CALCE,protected_state,0.06682626868188582,13
hist_gradient_boosting,CALCE,raw_candidate,0.04348253026517891,13
hist_gradient_boosting,HNEI,pchp_method,0.08097450327858279,14
hist_gradient_boosting,HNEI,protected_state,0.08918118779646904,14
hist_gradient_boosting,HNEI,raw_candidate,0.0587457840471806,14
hist_gradient_boosting,HUST,pchp_method,0.02487859508825737,77
hist_gradient_boosting,HUST,protected_state,0.02615754321728869,77
hist_gradient_boosting,HUST,raw_candidate,0.03289145376313118,77
hist_gradient_boosting,MATR,pchp_method,0.05967546424818864,169
hist_gradient_boosting,MATR,protected_state,0.06629864149851547,169
hist_gradient_boosting,MATR,raw_candidate,0.03385408770209572,169
hist_gradient_boosting,MICH,pchp_method,0.08662283878995254,40
hist_gradient_boosting,MICH,protected_state,0.09444137058545977,40
hist_gradient_boosting,MICH,raw_candidate,0.0488086349222009,40
hist_gradient_boosting,MICH_EXP,pchp_method,0.13925154382683785,18
hist_gradient_boosting,MICH_EXP,protected_state,0.14733910237259787,18
hist_gradient_boosting,MICH_EXP,raw_candidate,0.06722448000204292,18
hist_gradient_boosting,RWTH,pchp_method,0.12771416668483998,48
hist_gradient_boosting,RWTH,protected_state,0.12865155062412825,48
hist_gradient_boosting,RWTH,raw_candidate,0.14598112672356242,48
hist_gradient_boosting,SDU,pchp_method,0.06793605324918078,86
hist_gradient_boosting,SDU,protected_state,0.06990043688920097,86
hist_gradient_boosting,SDU,raw_candidate,0.04285443660631915,86
hist_gradient_boosting,SNL,pchp_method,0.07478184199353925,61
hist_gradient_boosting,SNL,protected_state,0.08095608602319355,61
hist_gradient_boosting,SNL,raw_candidate,0.046407126103591136,61
hist_gradient_boosting,UL_PUR,pchp_method,0.03840468044286745,10
hist_gradient_boosting,UL_PUR,protected_state,0.04089762376935205,10
hist_gradient_boosting,UL_PUR,raw_candidate,0.059152237329366655,10
hist_gradient_boosting,XJTU,pchp_method,0.09325718522526075,23
hist_gradient_boosting,XJTU,protected_state,0.09727004650404641,23
hist_gradient_boosting,XJTU,raw_candidate,0.07682302018228515,23
lightgbm,CALB,pchp_method,0.013637195856157809,27
lightgbm,CALB,protected_state,0.016720681744646432,27
