domain,interventions,fraction_reduced,median_cumulative_disturbance_alpha_1,median_cumulative_disturbance_alpha_0p02
CALB,81,1.0,1.6988663307540919,0.030653804957591513
CALCE,39,1.0,15.949999999999996,0.05054364575955894
HNEI,42,1.0,13.45,0.05096734040248918
HUST,231,1.0,20.137502792219173,0.05122576485752295
MATR,507,1.0,7.9151454433252875,0.05112187751264963
MICH,120,1.0,4.5671427787173595,0.05011428817440011
MICH_EXP,54,1.0,2.83308675744127,0.04850790235550079
RWTH,144,1.0,10.359899441143659,0.05162859013454951
SDU,258,1.0,2.7131946153406488,0.04961867614845228
SNL,183,1.0,13.189686363892475,0.06128774210410182
UL_PUR,30,1.0,3.418903435341686,0.04382138697993454
XJTU,69,1.0,1.9742757068416699,0.0490843426381552
