domain,physical_cells,fraction_cells_revised,median_cell_maximum_revision,maximum_causal_difference
CALB,27,0.7037037037037037,0.00048058168939490997,0.0
CALCE,13,1.0,0.0067918936682391795,0.0
HNEI,14,1.0,0.035277328715870054,0.0
HUST,77,0.8831168831168831,0.0005875626289765234,0.0
MATR,169,0.9940828402366864,0.0028152869834509042,0.0
MICH,40,0.975,0.0015841118261349374,0.0
MICH_EXP,18,0.7777777777777778,0.0023363168562945957,0.0
RWTH,48,1.0,0.010860200545820209,0.0
SDU,86,1.0,0.0053081412780133785,0.0
SNL,61,0.9836065573770492,0.0030586582904579274,0.0
UL_PUR,10,1.0,0.0014462251226596834,0.0
XJTU,23,0.9130434782608695,0.00783477513382036,0.0
