analysis,source_group,baseline_mae,pchp_mae,pchp_minus_baseline
primary_development,CALB,0.0503238648637604,0.0404558735594708,-0.0098679913042896
primary_development,CALCE,0.0589638895418131,0.0544686820115287,-0.004495207530284401
primary_development,HNEI,0.0652965005719518,0.0570002011115926,-0.008296299460359202
primary_development,HUST,0.0339469241596217,0.0308558340176351,-0.0030910901419866008
primary_development,MATR,0.0507870307287322,0.0494696776323124,-0.001317353096419803
primary_development,MICH_PROGRAM,0.0976203247374644,0.0908171738877577,-0.006803150849706702
primary_development,RWTH,0.1442151561833092,0.1453074741276922,0.0010923179443829978
primary_development,SDU,0.0679263095683954,0.0652870446274347,-0.0026392649409607005
primary_development,SNL,0.0701726264995628,0.0666876259017461,-0.003485000597816701
primary_development,UL_PUR,0.0403225860241358,0.0371502208082563,-0.003172365215879498
primary_development,XJTU,0.1256821400329914,0.1162131641901415,-0.00946897584284992
candidate_control,CALB,0.0403275318971304,0.0404558735594708,0.00012834166234040184
candidate_control,CALCE,0.0647299484707101,0.0544686820115287,-0.010261266459181406
candidate_control,HNEI,0.0736679218268596,0.0570002011115926,-0.01666772071526701
candidate_control,HUST,0.0342634494736259,0.0308558340176351,-0.0034076154559907965
candidate_control,MATR,0.0452319158818893,0.0494696776323124,0.004237761750423098
candidate_control,MICH_PROGRAM,0.0967617089870737,0.0908171738877577,-0.005944535099316001
candidate_control,RWTH,0.1462656355970358,0.1453074741276922,-0.0009581614693435769
candidate_control,SDU,0.0620430188501616,0.0652870446274347,0.0032440257772731046
candidate_control,SNL,0.0708532968384272,0.0666876259017461,-0.004165670936681104
candidate_control,UL_PUR,0.0454819030392312,0.0371502208082563,-0.008331682230974899
candidate_control,XJTU,0.1254196482521557,0.1162131641901415,-0.009206484062014214
