domain,cells,records,comparator_alpha,baseline_mae,pchp_mae,source_tuned_causal_candidate_mae,pchp_violating_cells,source_tuned_candidate_violating_cells,pchp_max_displacement,source_tuned_candidate_max_displacement,pchp_minus_baseline,source_tuned_candidate_minus_baseline,pchp_minus_source_tuned_candidate,source_tuned_candidate_violating_cell_fraction,pchp_violating_cell_fraction
CALB,27,2629,0.050000000000000003,0.050323864863760469,0.040455873559470806,0.013913960270348026,0,27,0.010000000000000009,0.14840435852870859,-0.0098679913042896625,-0.036409904593412444,0.026541913289122782,1,0
CALCE,13,14233,0.050000000000000003,0.058963889541813155,0.05446868201152872,0.042919370501078268,0,13,0.010000000000000009,0.2247928525045268,-0.0044952075302844355,-0.016044519040734888,0.011549311510450452,1,0
HNEI,14,15085,0.050000000000000003,0.065296500571951813,0.057000201111592638,0.032613084492032089,0,14,0.010000000000000009,0.35680109452892395,-0.0082962994603591744,-0.032683416079919723,0.024387116619560549,1,0
HUST,77,145735,0.050000000000000003,0.033946924159621708,0.030855834017635142,0.033275784516433017,0,77,0.010000000000000009,0.082904579201797723,-0.0030910901419865661,-0.00067113964318869096,-0.0024199504987978751,1,0
MATR,169,139148,0.050000000000000003,0.05078703072873228,0.0494696776323124,0.03770016830065414,0,169,0.010000000000000009,0.20254101541990688,-0.0013173530964198793,-0.01308686242807814,0.011769509331658261,1,0
MICH,40,19681,0.050000000000000003,0.10472857361606029,0.096984961537629394,0.061911702985849179,0,40,0.010000000000000009,0.27166412749661262,-0.0077436120784308976,-0.042816870630211112,0.035073258551780215,1,0
MICH_EXP,18,6455,0.050000000000000003,0.09051207585886864,0.08464938623788601,0.054243992105224133,0,18,0.010000000000000009,0.28542632122423106,-0.0058626896209826307,-0.036268083753644507,0.030405394132661877,1,0
RWTH,48,105140,0.050000000000000003,0.14421515618330924,0.14530747412769221,0.17443410784041147,0,48,0.010000000000000009,0.10987086191222617,0.00109231794438297,0.030218951657102228,-0.029126633712719258,1,0
SDU,86,48716,0.050000000000000003,0.067926309568395404,0.065287044627434745,0.045503422205431826,0,86,0.010000000000000009,0.16207571313199598,-0.0026392649409606589,-0.022422887362963578,0.019783622422002919,1,0
SNL,61,96092,0.050000000000000003,0.070172626499562823,0.066687625901746123,0.055517066148588083,0,61,0.010000000000000009,0.25832342469091307,-0.0034850005978167009,-0.01465556035097474,0.011170559753158039,1,0
UL_PUR,10,2195,0.050000000000000003,0.04032258602413584,0.037150220808256362,0.044096579934169336,0,10,0.010000000000000009,0.18825094017674882,-0.0031723652158794774,0.0037739939100334963,-0.0069463591259129737,1,0
XJTU,23,6823,0.050000000000000003,0.12568214003299147,0.11621316419014152,0.060215678581971806,0,23,0.010000000000000009,0.1089146500045497,-0.0094689758428499471,-0.06546646145101967,0.055997485608169716,1,0
