outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
CALB,CALCE,1,13,14233,0.26151489182340931
CALB,CALCE,0.5,13,14233,0.17749568548035199
CALB,CALCE,0.20000000000000001,13,14233,0.080960231897829527
CALB,CALCE,0.10000000000000001,13,14233,0.044011611679018632
CALB,CALCE,0.050000000000000003,13,14233,0.043904286944063481
CALB,CALCE,0.029999999999999999,13,14233,0.05221149572879176
CALB,CALCE,0.02,13,14233,0.060602951192690518
CALB,CALCE,0.014999999999999999,13,14233,0.067799698762417857
CALB,CALCE,0.01,13,14233,0.079937982069123559
CALB,CALCE,0.0050000000000000001,13,14233,0.1055420127596015
CALB,HNEI,1,14,15085,0.28810585376643633
CALB,HNEI,0.5,14,15085,0.18853932966629849
CALB,HNEI,0.20000000000000001,14,15085,0.084653569186037711
CALB,HNEI,0.10000000000000001,14,15085,0.044567767373284037
CALB,HNEI,0.050000000000000003,14,15085,0.032460891146850857
CALB,HNEI,0.029999999999999999,14,15085,0.031797434300239388
CALB,HNEI,0.02,14,15085,0.034848002350523453
CALB,HNEI,0.014999999999999999,14,15085,0.040658751180899913
CALB,HNEI,0.01,14,15085,0.054031873797973293
CALB,HNEI,0.0050000000000000001,14,15085,0.091621936205292229
CALB,HUST,1,77,145735,0.033435227555393639
CALB,HUST,0.5,77,145735,0.033676229576458092
CALB,HUST,0.20000000000000001,77,145735,0.034077788538004417
CALB,HUST,0.10000000000000001,77,145735,0.03453206113906529
CALB,HUST,0.050000000000000003,77,145735,0.035277846241739616
CALB,HUST,0.029999999999999999,77,145735,0.036185510953365918
CALB,HUST,0.02,77,145735,0.0372651002170825
CALB,HUST,0.014999999999999999,77,145735,0.038332208438208046
CALB,HUST,0.01,77,145735,0.040375817740796204
CALB,HUST,0.0050000000000000001,77,145735,0.045878073398471823
CALB,MATR,1,169,139148,0.061199463882714265
CALB,MATR,0.5,169,139148,0.054185945282946138
CALB,MATR,0.20000000000000001,169,139148,0.048240574924087697
CALB,MATR,0.10000000000000001,169,139148,0.044619262797783124
CALB,MATR,0.050000000000000003,169,139148,0.040120573694128442
CALB,MATR,0.029999999999999999,169,139148,0.035877284734963537
CALB,MATR,0.02,169,139148,0.032117456288560386
CALB,MATR,0.014999999999999999,169,139148,0.02943998096424056
CALB,MATR,0.01,169,139148,0.026050138166124233
CALB,MATR,0.0050000000000000001,169,139148,0.022740275573316607
CALB,MICH,1,40,19681,0.043667300057121675
CALB,MICH,0.5,40,19681,0.044865063101054016
CALB,MICH,0.20000000000000001,40,19681,0.047970534605931446
CALB,MICH,0.10000000000000001,40,19681,0.052540309720226594
CALB,MICH,0.050000000000000003,40,19681,0.060443339911615511
CALB,MICH,0.029999999999999999,40,19681,0.069094497421165718
CALB,MICH,0.02,40,19681,0.077871762263179295
CALB,MICH,0.014999999999999999,40,19681,0.085095921671151112
CALB,MICH,0.01,40,19681,0.09633530931826971
CALB,MICH,0.0050000000000000001,40,19681,0.11639217137217102
CALB,MICH_EXP,1,18,6455,0.18478415729110653
CALB,MICH_EXP,0.5,18,6455,0.11059588288627097
CALB,MICH_EXP,0.20000000000000001,18,6455,0.066792692704281731
CALB,MICH_EXP,0.10000000000000001,18,6455,0.056597476130427773
CALB,MICH_EXP,0.050000000000000003,18,6455,0.054480947026677003
CALB,MICH_EXP,0.029999999999999999,18,6455,0.055581126326277194
CALB,MICH_EXP,0.02,18,6455,0.05749359702867031
CALB,MICH_EXP,0.014999999999999999,18,6455,0.05936613560449655
CALB,MICH_EXP,0.01,18,6455,0.062760703831912873
CALB,MICH_EXP,0.0050000000000000001,18,6455,0.073691638887173394
CALB,RWTH,1,48,105140,0.18279337387979366
CALB,RWTH,0.5,48,105140,0.18294448391913809
CALB,RWTH,0.20000000000000001,48,105140,0.18320440577661445
CALB,RWTH,0.10000000000000001,48,105140,0.18355177550130022
CALB,RWTH,0.050000000000000003,48,105140,0.18422385320422371
CALB,RWTH,0.029999999999999999,48,105140,0.1851686325748301
CALB,RWTH,0.02,48,105140,0.18643384686860462
CALB,RWTH,0.014999999999999999,48,105140,0.18777927821089144
CALB,RWTH,0.01,48,105140,0.19077559546991654
CALB,RWTH,0.0050000000000000001,48,105140,0.20174267912516
CALB,SDU,1,86,48716,0.062472167906888011
CALB,SDU,0.5,86,48716,0.059449979814562688
CALB,SDU,0.20000000000000001,86,48716,0.05402292831571303
CALB,SDU,0.10000000000000001,86,48716,0.049765778254702082
CALB,SDU,0.050000000000000003,86,48716,0.047732708410251443
CALB,SDU,0.029999999999999999,86,48716,0.047261672348011902
CALB,SDU,0.02,86,48716,0.047072985841772851
CALB,SDU,0.014999999999999999,86,48716,0.046390126632344535
CALB,SDU,0.01,86,48716,0.044373903116261798
CALB,SDU,0.0050000000000000001,86,48716,0.043596354847076614
CALB,SNL,1,61,96092,0.053140350682209403
CALB,SNL,0.5,61,96092,0.050475460638497241
CALB,SNL,0.20000000000000001,61,96092,0.049751502630325045
CALB,SNL,0.10000000000000001,61,96092,0.051074113603928842
CALB,SNL,0.050000000000000003,61,96092,0.053173104489352835
CALB,SNL,0.029999999999999999,61,96092,0.055454464099182296
CALB,SNL,0.02,61,96092,0.058156464466657655
CALB,SNL,0.014999999999999999,61,96092,0.060643977447656996
CALB,SNL,0.01,61,96092,0.06505678005399021
CALB,SNL,0.0050000000000000001,61,96092,0.076106704821138557
CALB,UL_PUR,1,10,2195,0.064261539727636985
CALB,UL_PUR,0.5,10,2195,0.06175909931253136
CALB,UL_PUR,0.20000000000000001,10,2195,0.057480599605074456
CALB,UL_PUR,0.10000000000000001,10,2195,0.052263780421613226
CALB,UL_PUR,0.050000000000000003,10,2195,0.044258199498417583
CALB,UL_PUR,0.029999999999999999,10,2195,0.036221461680946497
CALB,UL_PUR,0.02,10,2195,0.028774967204352853
CALB,UL_PUR,0.014999999999999999,10,2195,0.024091234876391372
CALB,UL_PUR,0.01,10,2195,0.020568031534844954
CALB,UL_PUR,0.0050000000000000001,10,2195,0.028483492381362007
CALB,XJTU,1,23,6823,0.070068978275835331
CALB,XJTU,0.5,23,6823,0.069032725709291726
CALB,XJTU,0.20000000000000001,23,6823,0.066909793015835259
CALB,XJTU,0.10000000000000001,23,6823,0.064112797554517889
CALB,XJTU,0.050000000000000003,23,6823,0.059505204889855813
CALB,XJTU,0.029999999999999999,23,6823,0.054621086600109191
CALB,XJTU,0.02,23,6823,0.050017548527536697
CALB,XJTU,0.014999999999999999,23,6823,0.046594633335211764
CALB,XJTU,0.01,23,6823,0.04242452317581686
CALB,XJTU,0.0050000000000000001,23,6823,0.039808471700338757
CALCE,CALB,1,27,2629,0.018246546407577474
CALCE,CALB,0.5,27,2629,0.017840980758303506
CALCE,CALB,0.20000000000000001,27,2629,0.017392841356542503
CALCE,CALB,0.10000000000000001,27,2629,0.016918489242483653
CALCE,CALB,0.050000000000000003,27,2629,0.016352065637563955
CALCE,CALB,0.029999999999999999,27,2629,0.015933516312439548
CALCE,CALB,0.02,27,2629,0.015615467660321155
CALCE,CALB,0.014999999999999999,27,2629,0.015413271000695736
CALCE,CALB,0.01,27,2629,0.015172645115975311
CALCE,CALB,0.0050000000000000001,27,2629,0.014980553287717616
CALCE,HNEI,1,14,15085,0.27421103426213667
CALCE,HNEI,0.5,14,15085,0.17655430495416041
CALCE,HNEI,0.20000000000000001,14,15085,0.085116148226907648
CALCE,HNEI,0.10000000000000001,14,15085,0.068309574816764224
CALCE,HNEI,0.050000000000000003,14,15085,0.07369746173786669
CALCE,HNEI,0.029999999999999999,14,15085,0.077018363463404377
CALCE,HNEI,0.02,14,15085,0.07979273237020619
CALCE,HNEI,0.014999999999999999,14,15085,0.084096703586923352
CALCE,HNEI,0.01,14,15085,0.095056579048326914
CALCE,HNEI,0.0050000000000000001,14,15085,0.12513636249166349
CALCE,HUST,1,77,145735,0.029500319607798663
