domain,cell_id,method,mae,records
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,protected_state,0.12900415079596786,27
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,protected_state,0.1889676543526018,29
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,protected_state,0.13770463247049283,28
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,protected_state,0.1749303735561502,28
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2b,protected_state,0.1904679227853638,29
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2c,protected_state,0.16209514733671054,28
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell3a,protected_state,0.20141284641970117,35
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell3b,protected_state,0.19300100427414976,36
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4a,protected_state,0.18788316404692193,39
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4b,protected_state,0.2615937257468167,41
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4c,protected_state,0.2176653277699041,40
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5a,protected_state,0.22283533760564858,38
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5b,protected_state,0.19318573920131185,37
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5c,protected_state,0.1933677934026893,37
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6a,protected_state,0.29147060794152607,59
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6b,protected_state,0.22354830907503576,62
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6c,protected_state,0.24188185687483335,62
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7a,protected_state,0.3642683715764086,28
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7b,protected_state,0.272536370882255,30
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7c,protected_state,0.2965081740183824,30
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_A,protected_state,0.07745380366219838,9
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_B,protected_state,0.11832344975904507,9
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_D,protected_state,0.07469894021579879,8
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_E,protected_state,0.07268779579431271,9
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_F,protected_state,0.11061188916173888,9
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_J,protected_state,0.06338008557519534,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_K,protected_state,0.07377311010855767,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_L,protected_state,0.07666512665365517,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_M,protected_state,0.08047072362385263,5
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_A",protected_state,0.2873455448890369,8
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_B",protected_state,0.30699582878882026,8
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_C",protected_state,0.2513068557957032,8
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_D",protected_state,0.2482985462909637,8
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_E",protected_state,0.22143484735954339,8
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_F",protected_state,0.2197276080479499,8
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_A,protected_state,0.4607221876286327,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_B,protected_state,0.4707786458523751,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_C,protected_state,0.47638896973151973,5
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_D,protected_state,0.3388973312288764,6
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_E,protected_state,0.3004399799266351,6
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_F,protected_state,0.3309551237386034,6
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_G,protected_state,0.22419465746442743,6
