record_id,frozen_row_index,domain,cell_id,target_cycle_number,within_nominal_cycle_ordinal
EXT-00001,0,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,600.0,0
EXT-00002,1,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,700.0,0
EXT-00003,2,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,800.0,0
EXT-00004,3,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,900.0,0
EXT-00005,4,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1000.0,0
EXT-00006,5,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1100.0,0
EXT-00007,6,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1200.0,0
EXT-00008,7,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1300.0,0
EXT-00009,8,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1400.0,0
EXT-00010,9,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1500.0,0
EXT-00011,10,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1600.0,0
EXT-00012,11,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1700.0,0
EXT-00013,12,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1800.0,0
EXT-00014,13,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,1900.0,0
EXT-00015,14,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2000.0,0
EXT-00016,15,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2100.0,0
EXT-00017,16,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2200.0,0
EXT-00018,17,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2300.0,0
EXT-00019,18,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2400.0,0
EXT-00020,19,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2500.0,0
EXT-00021,20,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2600.0,0
EXT-00022,21,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2700.0,0
EXT-00023,22,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2800.0,0
EXT-00024,23,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,2900.0,0
EXT-00025,24,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,3000.0,0
EXT-00026,25,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,3100.0,0
EXT-00027,26,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,3200.0,0
EXT-00028,27,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,500.0,0
EXT-00029,28,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,600.0,0
EXT-00030,29,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,700.0,0
EXT-00031,30,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,800.0,0
EXT-00032,31,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,900.0,0
EXT-00033,32,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1000.0,0
EXT-00034,33,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1100.0,0
EXT-00035,34,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1200.0,0
EXT-00036,35,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1300.0,0
EXT-00037,36,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1400.0,0
EXT-00038,37,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1500.0,0
EXT-00039,38,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1600.0,0
EXT-00040,39,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1700.0,0
EXT-00041,40,AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,1800.0,0
