domain,cell_id,records,mae_pchp_method,mae_fixed_shift,mae_protected_state
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,27,0.12082664428191227,0.13859667524717076,0.12900415079596786
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,29,0.1805408600462043,0.19828166569292846,0.1889676543526018
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,28,0.13001046483109377,0.14715361445781333,0.13770463247049283
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,28,0.16585119871043444,0.18350180212757877,0.1749303735561502
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2b,29,0.1829044576253618,0.20014583693570664,0.1904679227853638
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2c,28,0.15280943305099623,0.17066657590813913,0.16209514733671054
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell3a,35,0.19434023169953193,0.2109238709256131,0.20141284641970117
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell3b,36,0.1859744501508854,0.2025240024820256,0.19300100427414976
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4a,39,0.1804719699955163,0.19737034353410143,0.18788316404692193
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4b,41,0.2544793200032184,0.2713061738432333,0.2615937257468167
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell4c,40,0.21043303036433994,0.2271653277699041,0.2176653277699041
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5a,38,0.21463960975065688,0.23230902181617494,0.22283533760564858
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5b,37,0.1849918430016392,0.2023297953106284,0.19318573920131185
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell5c,37,0.1852007635649641,0.20268063109313267,0.1933677934026893
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6a,59,0.283249390943059,0.30126454260254987,0.29147060794152607
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6b,62,0.21502494863488242,0.23315438320430398,0.22354830907503576
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell6c,62,0.2333811506663806,0.2512302696951828,0.24188185687483335
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7a,28,0.35603126184435585,0.37391493236153667,0.3642683715764086
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7b,30,0.26454393107543084,0.28253637088225503,0.272536370882255
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell7c,30,0.2899580904914712,0.3064293768141014,0.2965081740183824
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_A,9,0.0684794069735543,0.07856491477330949,0.07745380366219838
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_B,9,0.10832344975904507,0.11943456087015619,0.11832344975904507
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_D,8,0.06469894021579878,0.06469894021579878,0.07469894021579879
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_E,9,0.06491001801653493,0.06755057899736738,0.07268779579431271
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_F,9,0.10172886746523296,0.10950077805062777,0.11061188916173888
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_J,5,0.05338008557519534,0.05338008557519534,0.06338008557519534
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_K,5,0.06377311010855766,0.06377311010855766,0.07377311010855767
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_L,5,0.06666512665365516,0.06666512665365516,0.07666512665365517
IMPERIAL_M50T,IMPERIAL_M50T/Expt 1 - Si-based Degradation/cell_M,5,0.07047072362385262,0.07047072362385262,0.08047072362385263
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_A",8,0.2773455448890369,0.2773455448890369,0.2873455448890369
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_B",8,0.29699582878882025,0.29699582878882025,0.30699582878882026
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_C",8,0.2413068557957032,0.2413068557957032,0.2513068557957032
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_D",8,0.2382985462909637,0.2382985462909637,0.2482985462909637
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_E",8,0.21143484735954338,0.21143484735954338,0.22143484735954339
IMPERIAL_M50T,"IMPERIAL_M50T/Expt 2,2 - C-based Degradation 2/cell_F",8,0.2097276080479499,0.2097276080479499,0.2197276080479499
IMPERIAL_M50T,IMPERIAL_M50T/Expt 3 - Cathode Degradation and Li-Plating/cell_A,5,0.45512339308442007,0.45072218762863264,0.4607221876286327
