comparator,domain,cells,records,pchp_cell_macro_mae,comparator_cell_macro_mae,difference
fixed_shift,AMPERE_A123_LFP,20,743,0.20928315253661672,0.22667426063520404,-0.017391108098587276
fixed_shift,IMPERIAL_M50T,40,269,0.21144556122150418,0.2095632532400769,0.0018823079814272825
fixed_shift,ISU_ILCC_NMC,244,4211,0.1676920220070287,0.17624134011047,-0.008549318103441268
fixed_shift,LUH_NMC_SIO,180,2377,0.07202617650205156,0.07776235537911352,-0.005736178877061958
fixed_shift,MULTISTAGE_50E,145,1347,0.0320486084597061,0.041751927455606526,-0.009703318995900422
fixed_shift,STANFORD_CALENDAR,30,765,0.06569319422538987,0.06757859315130141,-0.0018853989259115362
protected_state,AMPERE_A123_LFP,20,743,0.20928315253661672,0.2172164255066436,-0.007933272970026845
protected_state,IMPERIAL_M50T,40,269,0.21144556122150418,0.21866390588222276,-0.007218344660718583
protected_state,ISU_ILCC_NMC,244,4211,0.1676920220070287,0.1671152672169728,0.000576754790055931
protected_state,LUH_NMC_SIO,180,2377,0.07202617650205156,0.069899951881251,0.0021262246208005532
protected_state,MULTISTAGE_50E,145,1347,0.0320486084597061,0.04045191473347761,-0.008403306273771513
protected_state,STANFORD_CALENDAR,30,765,0.06569319422538987,0.07029978489341852,-0.0046065906680286504
