comparator,omitted_domain,retained_domains,dataset_equal_mean_difference
fixed_shift,AMPERE_A123_LFP,5,-0.0047983813841775795
fixed_shift,IMPERIAL_M50T,5,-0.008653064600180492
fixed_shift,ISU_ILCC_NMC,5,-0.0065667393832067825
fixed_shift,LUH_NMC_SIO,5,-0.007129367228482644
fixed_shift,MULTISTAGE_50E,5,-0.006335939204714952
fixed_shift,STANFORD_CALENDAR,5,-0.007899523218712729
protected_state,AMPERE_A123_LFP,5,-0.0035050524383324526
protected_state,IMPERIAL_M50T,5,-0.003648038100194105
protected_state,ISU_ILCC_NMC,5,-0.005207057990349007
protected_state,LUH_NMC_SIO,5,-0.005516951956497932
protected_state,MULTISTAGE_50E,5,-0.0034110457775835185
protected_state,STANFORD_CALENDAR,5,-0.004170388898732091
