domain,cell_id,threshold,method,records,truth_crossing_observed,prediction_crossing_observed,both_crossings_observed,truth_first_crossing_record,prediction_first_crossing_record,restricted_signed_delay_records,restricted_absolute_delay_records,observed_cycle_delay,late_warning,premature_review,on_time_review,degraded_records,late_warning_records,cell_late_warning_record_rate,healthy_records,premature_review_records,cell_premature_review_record_rate
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.7,protected_state,27,True,False,False,25.0,,3.0,3.0,,1.0,0,0.0,3,3,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.7,fixed_shift,27,True,False,False,25.0,,3.0,3.0,,1.0,0,0.0,3,3,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.7,pchp_method,27,True,False,False,25.0,,3.0,3.0,,1.0,0,0.0,3,3,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.8,protected_state,27,True,False,False,15.0,,13.0,13.0,,1.0,0,0.0,13,13,1.0,14,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.8,fixed_shift,27,True,False,False,15.0,,13.0,13.0,,1.0,0,0.0,13,13,1.0,14,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.8,pchp_method,27,True,False,False,15.0,,13.0,13.0,,1.0,0,0.0,13,13,1.0,14,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.9,protected_state,27,True,False,False,6.0,,22.0,22.0,,1.0,0,0.0,22,22,1.0,5,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.9,fixed_shift,27,True,False,False,6.0,,22.0,22.0,,1.0,0,0.0,22,22,1.0,5,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1a,0.9,pchp_method,27,True,False,False,6.0,,22.0,22.0,,1.0,0,0.0,22,22,1.0,5,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.7,protected_state,29,True,False,False,18.0,,12.0,12.0,,1.0,0,0.0,12,12,1.0,17,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.7,fixed_shift,29,True,False,False,18.0,,12.0,12.0,,1.0,0,0.0,12,12,1.0,17,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.7,pchp_method,29,True,False,False,18.0,,12.0,12.0,,1.0,0,0.0,12,12,1.0,17,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.8,protected_state,29,True,False,False,11.0,,19.0,19.0,,1.0,0,0.0,19,19,1.0,10,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.8,fixed_shift,29,True,False,False,11.0,,19.0,19.0,,1.0,0,0.0,19,19,1.0,10,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.8,pchp_method,29,True,False,False,11.0,,19.0,19.0,,1.0,0,0.0,19,19,1.0,10,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.9,protected_state,29,True,False,False,5.0,,25.0,25.0,,1.0,0,0.0,25,25,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.9,fixed_shift,29,True,False,False,5.0,,25.0,25.0,,1.0,0,0.0,25,25,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1b,0.9,pchp_method,29,True,False,False,5.0,,25.0,25.0,,1.0,0,0.0,25,25,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.7,protected_state,28,True,False,False,25.0,,4.0,4.0,,1.0,0,0.0,4,4,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.7,fixed_shift,28,True,False,False,25.0,,4.0,4.0,,1.0,0,0.0,4,4,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.7,pchp_method,28,True,False,False,25.0,,4.0,4.0,,1.0,0,0.0,4,4,1.0,24,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.8,protected_state,28,True,False,False,14.0,,15.0,15.0,,1.0,0,0.0,15,15,1.0,13,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.8,fixed_shift,28,True,False,False,14.0,,15.0,15.0,,1.0,0,0.0,15,15,1.0,13,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.8,pchp_method,28,True,False,False,14.0,,15.0,15.0,,1.0,0,0.0,15,15,1.0,13,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.9,protected_state,28,True,False,False,5.0,,24.0,24.0,,1.0,0,0.0,24,24,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.9,fixed_shift,28,True,False,False,5.0,,24.0,24.0,,1.0,0,0.0,24,24,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell1c,0.9,pchp_method,28,True,False,False,5.0,,24.0,24.0,,1.0,0,0.0,24,24,1.0,4,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,0.7,protected_state,28,True,False,False,19.0,,10.0,10.0,,1.0,0,0.0,10,10,1.0,18,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,0.7,fixed_shift,28,True,False,False,19.0,,10.0,10.0,,1.0,0,0.0,10,10,1.0,18,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,0.7,pchp_method,28,True,False,False,19.0,,10.0,10.0,,1.0,0,0.0,10,10,1.0,18,0,0.0
AMPERE_A123_LFP,AMPERE_A123_LFP/Cell2a,0.8,protected_state,28,True,False,False,13.0,,16.0,16.0,,1.0,0,0.0,16,16,1.0,12,0,0.0
