threshold,reference,metric,datasets_contributing,dataset_equal_mean_difference,median_dataset_difference,dataset_wins,dataset_ties,dataset_losses
0.7,protected_state,mean_restricted_absolute_delay_records,4,0.0,0.0,0,4,0
0.7,protected_state,p95_restricted_late_delay_records,4,0.0,0.0,0,4,0
0.7,protected_state,late_warning_cell_rate,4,0.0,0.0,0,4,0
0.7,protected_state,premature_review_cell_rate_among_crossers,4,0.0,0.0,0,4,0
0.7,protected_state,cell_macro_late_warning_record_rate,4,0.0,0.0,0,4,0
0.7,protected_state,cell_macro_premature_review_record_rate,6,-0.0011243386243386204,0.0,1,5,0
0.7,fixed_shift,mean_restricted_absolute_delay_records,4,0.0,0.0,0,4,0
0.7,fixed_shift,p95_restricted_late_delay_records,4,0.0,0.0,0,4,0
0.7,fixed_shift,late_warning_cell_rate,4,0.0,0.0,0,4,0
0.7,fixed_shift,premature_review_cell_rate_among_crossers,4,0.0,0.0,0,4,0
0.7,fixed_shift,cell_macro_late_warning_record_rate,4,0.0,0.0,0,4,0
0.7,fixed_shift,cell_macro_premature_review_record_rate,6,0.004894179894179886,0.0,0,5,1
0.8,protected_state,mean_restricted_absolute_delay_records,5,0.0,0.0,0,5,0
0.8,protected_state,p95_restricted_late_delay_records,5,0.0,0.0,0,5,0
0.8,protected_state,late_warning_cell_rate,5,0.0,0.0,0,5,0
0.8,protected_state,premature_review_cell_rate_among_crossers,5,0.0,0.0,0,5,0
0.8,protected_state,cell_macro_late_warning_record_rate,5,0.0,0.0,0,5,0
0.8,protected_state,cell_macro_premature_review_record_rate,6,0.0,0.0,0,6,0
0.8,fixed_shift,mean_restricted_absolute_delay_records,5,0.0,0.0,0,5,0
0.8,fixed_shift,p95_restricted_late_delay_records,5,0.0,0.0,0,5,0
0.8,fixed_shift,late_warning_cell_rate,5,0.0,0.0,0,5,0
0.8,fixed_shift,premature_review_cell_rate_among_crossers,5,0.0,0.0,0,5,0
0.8,fixed_shift,cell_macro_late_warning_record_rate,5,0.0,0.0,0,5,0
0.8,fixed_shift,cell_macro_premature_review_record_rate,6,0.0,0.0,0,6,0
0.9,protected_state,mean_restricted_absolute_delay_records,6,0.050351288056206034,0.0,0,4,2
0.9,protected_state,p95_restricted_late_delay_records,6,0.0,0.0,0,6,0
0.9,protected_state,late_warning_cell_rate,6,0.011904761904761899,0.0,0,5,1
0.9,protected_state,premature_review_cell_rate_among_crossers,6,-0.005952380952380952,0.0,1,5,0
0.9,protected_state,cell_macro_late_warning_record_rate,6,0.010810316840761799,0.0,0,4,2
0.9,protected_state,cell_macro_premature_review_record_rate,6,-0.0070179698882952895,0.0,2,4,0
0.9,fixed_shift,mean_restricted_absolute_delay_records,6,-0.0035714285714285587,0.0,1,5,0
0.9,fixed_shift,p95_restricted_late_delay_records,6,0.0,0.0,0,6,0
0.9,fixed_shift,late_warning_cell_rate,6,0.0,0.0,0,6,0
0.9,fixed_shift,premature_review_cell_rate_among_crossers,6,0.0,0.0,0,6,0
0.9,fixed_shift,cell_macro_late_warning_record_rate,6,-0.0007142857142857043,0.0,1,5,0
0.9,fixed_shift,cell_macro_premature_review_record_rate,6,0.0,0.0,0,6,0
