domain,threshold,method,cells,truth_crossing_cells,prediction_crossing_cells,mean_restricted_signed_delay_records,mean_restricted_absolute_delay_records,p95_restricted_late_delay_records,mean_observed_absolute_cycle_delay,late_warning_cell_rate,premature_review_cell_rate_among_crossers,on_time_review_cell_rate,premature_review_cell_rate_without_observed_truth_crossing,cell_macro_late_warning_record_rate,cell_macro_premature_review_record_rate
AMPERE_A123_LFP,0.7,fixed_shift,20,20,0,17.5,17.5,33.150000000000006,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.7,pchp_method,20,20,0,17.5,17.5,33.150000000000006,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.7,protected_state,20,20,0,17.5,17.5,33.150000000000006,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.8,fixed_shift,20,20,0,24.75,24.75,42.05,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.8,pchp_method,20,20,0,24.75,24.75,42.05,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.8,protected_state,20,20,0,24.75,24.75,42.05,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.9,fixed_shift,20,20,0,32.6,32.6,54.05,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.9,pchp_method,20,20,0,32.6,32.6,54.05,,1.0,0.0,0.0,,1.0,0.0
AMPERE_A123_LFP,0.9,protected_state,20,20,0,32.6,32.6,54.05,,1.0,0.0,0.0,,1.0,0.0
IMPERIAL_M50T,0.7,fixed_shift,40,6,13,0.5,2.5,3.0,1551.0,0.6666666666666666,0.3333333333333333,0.0,0.3235294117647059,0.6666666666666666,0.325
IMPERIAL_M50T,0.7,pchp_method,40,6,16,0.5,2.5,3.0,1551.0,0.6666666666666666,0.3333333333333333,0.0,0.4117647058823529,0.6666666666666666,0.3543650793650793
IMPERIAL_M50T,0.7,protected_state,40,6,16,0.5,2.5,3.0,1551.0,0.6666666666666666,0.3333333333333333,0.0,0.4117647058823529,0.6666666666666666,0.36111111111111105
IMPERIAL_M50T,0.8,fixed_shift,40,7,31,0.8571428571428571,2.857142857142857,4.0,1206.3333333333333,0.5714285714285714,0.42857142857142855,0.0,0.8484848484848485,0.5714285714285714,0.775
IMPERIAL_M50T,0.8,pchp_method,40,7,31,0.8571428571428571,2.857142857142857,4.0,1206.3333333333333,0.5714285714285714,0.42857142857142855,0.0,0.8484848484848485,0.5714285714285714,0.775
IMPERIAL_M50T,0.8,protected_state,40,7,31,0.8571428571428571,2.857142857142857,4.0,1206.3333333333333,0.5714285714285714,0.42857142857142855,0.0,0.8484848484848485,0.5714285714285714,0.775
IMPERIAL_M50T,0.9,fixed_shift,40,23,40,-4.173913043478261,4.173913043478261,0.0,1123.1304347826087,0.0,1.0,0.0,1.0,0.0,1.0
IMPERIAL_M50T,0.9,pchp_method,40,23,40,-4.173913043478261,4.173913043478261,0.0,1123.1304347826087,0.0,1.0,0.0,1.0,0.0,1.0
IMPERIAL_M50T,0.9,protected_state,40,23,40,-4.173913043478261,4.173913043478261,0.0,1123.1304347826087,0.0,1.0,0.0,1.0,0.0,1.0
ISU_ILCC_NMC,0.7,fixed_shift,244,223,0,4.910313901345291,4.910313901345291,11.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.7,pchp_method,244,223,0,4.910313901345291,4.910313901345291,11.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.7,protected_state,244,223,0,4.910313901345291,4.910313901345291,11.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.8,fixed_shift,244,243,0,7.2592592592592595,7.2592592592592595,15.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.8,pchp_method,244,243,0,7.2592592592592595,7.2592592592592595,15.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.8,protected_state,244,243,0,7.2592592592592595,7.2592592592592595,15.0,,1.0,0.0,0.0,0.0,1.0,0.0
ISU_ILCC_NMC,0.9,fixed_shift,244,244,0,11.889344262295081,11.889344262295081,23.0,,1.0,0.0,0.0,,1.0,0.0
ISU_ILCC_NMC,0.9,pchp_method,244,244,0,11.889344262295081,11.889344262295081,23.0,,1.0,0.0,0.0,,1.0,0.0
ISU_ILCC_NMC,0.9,protected_state,244,244,1,11.87295081967213,11.87295081967213,23.0,432.2059259259259,1.0,0.0,0.0,,0.9997072599531617,0.0
LUH_NMC_SIO,0.7,fixed_shift,180,59,0,1.5084745762711864,1.5084745762711864,3.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.7,pchp_method,180,59,0,1.5084745762711864,1.5084745762711864,3.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.7,protected_state,180,59,0,1.5084745762711864,1.5084745762711864,3.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.8,fixed_shift,180,100,0,2.72,2.72,6.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.8,pchp_method,180,100,0,2.72,2.72,6.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.8,protected_state,180,100,0,2.72,2.72,6.0,,1.0,0.0,0.0,0.0,1.0,0.0
LUH_NMC_SIO,0.9,fixed_shift,180,140,40,7.057142857142857,7.185714285714286,17.0,75.93525000000001,0.7571428571428571,0.05,0.19285714285714287,0.0,0.7357936507936508,0.04929577464788732
LUH_NMC_SIO,0.9,pchp_method,180,140,43,7.035714285714286,7.164285714285715,17.0,91.03914728682172,0.7571428571428571,0.05,0.19285714285714287,0.0,0.7315079365079366,0.04929577464788732
LUH_NMC_SIO,0.9,protected_state,180,140,54,6.635714285714286,6.878571428571429,17.0,164.90447530864196,0.6857142857142857,0.08571428571428572,0.22857142857142856,0.0,0.6669387755102041,0.08450704225352113
MULTISTAGE_50E,0.7,fixed_shift,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.7,pchp_method,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.7,protected_state,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.8,fixed_shift,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.8,pchp_method,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.8,protected_state,145,0,0,,,,,,,,0.0,,0.0
MULTISTAGE_50E,0.9,fixed_shift,145,29,0,2.7586206896551726,2.7586206896551726,4.599999999999998,,1.0,0.0,0.0,0.0,1.0,0.0
MULTISTAGE_50E,0.9,pchp_method,145,29,0,2.7586206896551726,2.7586206896551726,4.599999999999998,,1.0,0.0,0.0,0.0,1.0,0.0
MULTISTAGE_50E,0.9,protected_state,145,29,1,2.7586206896551726,2.7586206896551726,4.599999999999998,,1.0,0.0,0.0,0.008620689655172414,1.0,0.006896551724137931
STANFORD_CALENDAR,0.7,fixed_shift,30,0,0,,,,,,,,0.0,,0.0
STANFORD_CALENDAR,0.7,pchp_method,30,0,0,,,,,,,,0.0,,0.0
STANFORD_CALENDAR,0.7,protected_state,30,0,0,,,,,,,,0.0,,0.0
STANFORD_CALENDAR,0.8,fixed_shift,30,7,0,9.0,9.0,15.399999999999999,,1.0,0.0,0.0,0.0,1.0,0.0
STANFORD_CALENDAR,0.8,pchp_method,30,7,0,9.0,9.0,15.399999999999999,,1.0,0.0,0.0,0.0,1.0,0.0
STANFORD_CALENDAR,0.8,protected_state,30,7,0,9.0,9.0,15.399999999999999,,1.0,0.0,0.0,0.0,1.0,0.0
STANFORD_CALENDAR,0.9,fixed_shift,30,18,12,-11.61111111111111,19.5,14.949999999999982,2247.25,0.5555555555555556,0.4444444444444444,0.0,0.3333333333333333,0.5555555555555556,0.41379310344827586
STANFORD_CALENDAR,0.9,pchp_method,30,18,12,-11.61111111111111,19.5,14.949999999999982,2247.25,0.5555555555555556,0.4444444444444444,0.0,0.3333333333333333,0.5555555555555556,0.41379310344827586
STANFORD_CALENDAR,0.9,protected_state,30,18,12,-11.61111111111111,19.5,14.949999999999982,2247.25,0.5555555555555556,0.4444444444444444,0.0,0.3333333333333333,0.5555555555555556,0.41379310344827586
