domain,cell_id,method,rows,mae,rmse,trajectory_increase_fraction,maximum_predicted_increase
CALB,CALB/CALB_0_B182,raw_pooled,94,0.09545185528367822,0.09561332072242436,0.17204301075268819,0.009492785757945543
CALB,CALB/CALB_0_B183,raw_pooled,94,0.07293772966748366,0.07311745704429318,0.21505376344086022,0.007015047614788883
CALB,CALB/CALB_0_B184,raw_pooled,94,0.05669209531281183,0.05688568708360778,0.22580645161290322,0.00699773440870044
CALB,CALB/CALB_0_B185,raw_pooled,94,0.0575080066656398,0.0577438155806775,0.16129032258064516,0.006771364297785354
CALB,CALB/CALB_0_B187,raw_pooled,94,0.0576870339383487,0.057965836644125954,0.20430107526881722,0.009349467214316731
CALB,CALB/CALB_0_B188,raw_pooled,202,0.08592125298904676,0.08684549801750065,0.13432835820895522,0.007231896126456805
CALB,CALB/CALB_0_B189,raw_pooled,94,0.058349583688422864,0.05848666096589871,0.15053763440860216,0.009682049163401096
CALB,CALB/CALB_0_B190,raw_pooled,94,0.07975118385416737,0.07993753703747794,0.25806451612903225,0.0075245737895237585
CALB,CALB/CALB_25_T25-1,raw_pooled,93,0.04013710978647079,0.040809432244261236,0.07608695652173914,0.0032800083060098295
CALB,CALB/CALB_25_T25-2,raw_pooled,93,0.04188500405750067,0.04250110814189961,0.14130434782608695,0.004948388384750757
CALB,CALB/CALB_35_B173,raw_pooled,93,0.04549517253458662,0.04716367414283606,0.33695652173913043,0.005041146159447285
CALB,CALB/CALB_35_B174,raw_pooled,93,0.04793825472807665,0.049440284381381996,0.32608695652173914,0.005367600679337059
CALB,CALB/CALB_35_B175,raw_pooled,93,0.048459463390908626,0.04985199300001529,0.3804347826086957,0.006310653435003921
CALB,CALB/CALB_35_B222,raw_pooled,93,0.045978925502133165,0.04739639419008087,0.40217391304347827,0.004979466695743895
CALB,CALB/CALB_35_B223,raw_pooled,93,0.045315694013920424,0.04691359852345699,0.33695652173913043,0.005601346468658175
CALB,CALB/CALB_35_B224,raw_pooled,93,0.04530798299850097,0.046829463620554325,0.2826086956521739,0.007937986525045293
CALB,CALB/CALB_35_B227,raw_pooled,93,0.04621551279542144,0.047764794099900566,0.40217391304347827,0.004979466695743562
CALB,CALB/CALB_35_B228,raw_pooled,93,0.048003587015371954,0.049765018769710276,0.40217391304347827,0.005553589823180771
CALB,CALB/CALB_35_B229,raw_pooled,93,0.04672596765356994,0.048501034644975814,0.45652173913043476,0.006189734128482449
CALB,CALB/CALB_35_B230,raw_pooled,93,0.04591339651817291,0.04766484273305777,0.33695652173913043,0.00559833162881207
CALB,CALB/CALB_35_B247,raw_pooled,93,0.285302664577378,0.28541785558464106,0.391304347826087,0.01616527308775284
CALB,CALB/CALB_35_B248,raw_pooled,93,0.04642280501296664,0.04807447948198055,0.358695652173913,0.005142978386668107
CALB,CALB/CALB_35_B249,raw_pooled,93,0.04779392217805069,0.04902706470039695,0.391304347826087,0.005577377058860855
CALB,CALB/CALB_35_B250,raw_pooled,93,0.04610464242318823,0.04760044183407373,0.358695652173913,0.005871301521119365
CALB,CALB/CALB_45_B253,raw_pooled,94,0.05395411596961978,0.05536300263510298,0.16129032258064516,0.0010595685075162065
CALB,CALB/CALB_45_B255,raw_pooled,94,0.05484094887224822,0.05621507909169008,0.12903225806451613,0.002516989517573953
CALB,CALB/CALB_45_B256,raw_pooled,93,0.05694593334349529,0.05835248731267257,0.13043478260869565,0.0007495763076909023
CALCE,CALCE/CALCE_CS2_33,raw_pooled,655,0.040618471194930374,0.060343139089392935,0.37003058103975534,0.6124330703096207
CALCE,CALCE/CALCE_CS2_34,raw_pooled,627,0.06212682653176231,0.07785870108256455,0.3801916932907348,0.6199554198185434
CALCE,CALCE/CALCE_CS2_35,raw_pooled,775,0.04256850103847359,0.055377177767339775,0.3682170542635659,0.41176300111068925
CALCE,CALCE/CALCE_CS2_36,raw_pooled,827,0.048730085973772666,0.06843778211882603,0.3619854721549637,0.6814735641597176
CALCE,CALCE/CALCE_CS2_37,raw_pooled,900,0.04495639923795488,0.06695104090506049,0.3781979977753059,0.6919224764929087
CALCE,CALCE/CALCE_CS2_38,raw_pooled,898,0.04396356865519774,0.067755494964526,0.38127090301003347,0.6854682869900146
CALCE,CALCE/CALCE_CX2_16,raw_pooled,1274,0.09333372835028488,0.11317469884760938,0.42105263157894735,0.5375623171007835
CALCE,CALCE/CALCE_CX2_33,raw_pooled,1266,0.06078228149166912,0.07287713698346698,0.4150197628458498,0.5450373255106261
CALCE,CALCE/CALCE_CX2_34,raw_pooled,1358,0.03730052914923167,0.05144851386771016,0.3831982313927782,0.6972780842694708
CALCE,CALCE/CALCE_CX2_35,raw_pooled,1449,0.0480640741338534,0.06725625770309183,0.41091160220994477,0.6818732592756049
CALCE,CALCE/CALCE_CX2_36,raw_pooled,1563,0.035164187342577584,0.04984981480984185,0.40973111395646605,0.5913637083456678
CALCE,CALCE/CALCE_CX2_37,raw_pooled,1067,0.03406741705671065,0.05419347233104547,0.3602251407129456,0.655697339759663
CALCE,CALCE/CALCE_CX2_38,raw_pooled,1574,0.03798749389229722,0.0514922869686427,0.37380801017164655,0.675133630588303
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,raw_pooled,1081,0.03452361886141525,0.05313457312877958,0.21296296296296297,0.6491049698307604
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,raw_pooled,1074,0.059181634417533935,0.0719344266590778,0.20503261882572227,0.33241874139923044
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,raw_pooled,1076,0.03449860734329795,0.05109193202760918,0.2158139534883721,0.6678503407557801
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,raw_pooled,1076,0.03278565044129072,0.050608923470278636,0.19906976744186047,0.6591841192269339
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,raw_pooled,1101,0.03429297727229103,0.04733522371730503,0.19,0.5924842865299537
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,raw_pooled,1069,0.033538005206118826,0.05461835422403617,0.20599250936329588,0.5620168347988976
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,raw_pooled,1076,0.03378193951109592,0.04839835346514482,0.17767441860465116,0.6528598956813043
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,raw_pooled,1070,0.030420243974037812,0.04118964466331552,0.205799812909261,0.35516944242689596
