domain,method,physical_cells,cell_macro_mae,cell_macro_rmse,worst_cell_mae,mean_trajectory_increase_fraction,maximum_predicted_increase
CALB,change_domain_equal,27,0.014300460336601829,0.015484752437121947,0.1295197912098876,0.3005259014780133,0.011342413030143383
CALB,change_pooled,27,0.013397610927879623,0.014471590551062383,0.10310653540772424,0.2404920620522136,0.013308701460879369
CALB,raw_domain_equal,27,0.08132547204634191,0.08244670657127663,0.2666134455814651,0.2557762716209612,0.021589437066094397
CALB,raw_pooled,27,0.06307554980634002,0.06412029119365537,0.285302664577378,0.27120804734315024,0.01616527308775284
CALCE,change_domain_equal,13,0.05190295707434904,0.06870938677031534,0.0848766415682953,0.4604506207614205,0.4972323763686021
CALCE,change_pooled,13,0.052661374370800505,0.06978847439699219,0.08987276658390506,0.4594976308569943,0.5818208022521967
CALCE,raw_domain_equal,13,0.0583592255285598,0.07453347453504158,0.11030900922558853,0.3924539707741301,0.5265832006390931
CALCE,raw_pooled,13,0.04843565877297816,0.06592427057223986,0.09333372835028488,0.3856800149540721,0.6972780842694708
HNEI,change_domain_equal,14,0.041068504779193896,0.059005172672120985,0.23327183504948806,0.19713244690115797,0.6929409060875703
HNEI,change_pooled,14,0.04539317457103657,0.06271580292663423,0.23552474934491616,0.18917945675890088,0.6829349724449906
HNEI,raw_domain_equal,14,0.04148861480851435,0.05717265798021214,0.05800700507894739,0.20909065975219346,0.6437059553104484
HNEI,raw_pooled,14,0.04150625356629345,0.05783235257844338,0.06555272657747829,0.19443215770480538,0.6678503407557801
HUST,change_domain_equal,77,0.03233830960231638,0.04592990868156858,0.05420076931364529,0.40622469663047633,0.011668705847852734
HUST,change_pooled,77,0.030985907359943905,0.04288011744720109,0.05322297309531434,0.39598471878399116,0.014768072049733072
HUST,raw_domain_equal,77,0.03489581774181624,0.04717755260099666,0.0457880849528504,0.26585152480464913,0.012325136957006433
HUST,raw_pooled,77,0.03514989108605678,0.047074169321772684,0.049467135934332745,0.24322012864745376,0.012692945971055969
MATR,change_domain_equal,169,0.03710755966557633,0.04651809929070803,0.108716079838774,0.46259572301396207,0.2699642725107876
MATR,change_pooled,169,0.0436300197651987,0.05406564956977049,0.15519279367784347,0.46180576824964054,0.3917089731704364
MATR,raw_domain_equal,169,0.04693184841572871,0.055927387691792514,0.15317663129267906,0.4237986353012215,0.05712159029463282
MATR,raw_pooled,169,0.05594056717027203,0.06238749368518724,0.15919537366554343,0.438192913438791,0.06346987140138083
