domain,method,physical_cells,cell_macro_mae,cell_macro_rmse,worst_cell_mae,mean_trajectory_increase_fraction,maximum_predicted_increase
CALB,pchp_change_domain_equal,27,0.040455873559470806,0.041121950733578404,0.26446724160021295,0.0,0.0
CALB,pchp_change_pooled,27,0.04055023450080673,0.04123502045193161,0.26446724160021295,0.0,0.0
CALB,pchp_raw_domain_equal,27,0.05983922608026012,0.06031414581225591,0.27193982617589035,0.0,0.0
CALB,pchp_raw_pooled,27,0.05815233254282731,0.05864476030862611,0.28379936747838747,0.0,0.0
CALCE,pchp_change_domain_equal,13,0.05446868201152872,0.08617831458460602,0.09146485361843242,0.0,0.0
CALCE,pchp_change_pooled,13,0.054269104329949205,0.08604257219604647,0.09111446546011447,0.0,0.0
CALCE,pchp_raw_domain_equal,13,0.054656638989739534,0.08645234647976732,0.08937125693156689,0.0,0.0
CALCE,pchp_raw_pooled,13,0.054683202173330954,0.08645622352032221,0.0894314563598592,0.0,0.0
HNEI,pchp_change_domain_equal,14,0.05700020111159264,0.06460691947855539,0.1950198232796921,0.0,0.0
HNEI,pchp_change_pooled,14,0.05703623244224881,0.06462768177142188,0.1950198232796921,0.0,0.0
HNEI,pchp_raw_domain_equal,14,0.05688193006500225,0.06458641771564083,0.19341872616742725,0.0,0.0
HNEI,pchp_raw_pooled,14,0.05722218458605881,0.06497719287263962,0.19665831615258214,0.0,0.0
HUST,pchp_change_domain_equal,77,0.030855834017635142,0.04529451444740933,0.04331099307002203,0.0,0.0
HUST,pchp_change_pooled,77,0.03081545363744645,0.04528193272559221,0.04373679879993485,0.0,0.0
HUST,pchp_raw_domain_equal,77,0.034598581466844136,0.04589910891429307,0.04726157870799096,0.0,0.0
HUST,pchp_raw_pooled,77,0.03447542641438191,0.04541067008918782,0.049816999582162784,0.0,0.0
MATR,pchp_change_domain_equal,169,0.0494696776323124,0.05664401760654476,0.1520479185360799,0.0,0.0
MATR,pchp_change_pooled,169,0.05059183145300976,0.057524478664652864,0.15203999901120988,0.0,0.0
MATR,pchp_raw_domain_equal,169,0.05134023857202583,0.05918603429875116,0.15805106092369758,0.0,0.0
MATR,pchp_raw_pooled,169,0.05737278726265095,0.06372287073618164,0.1606271573190887,0.0,0.0
MICH,pchp_change_domain_equal,40,0.0969849615376294,0.16393328001077295,0.2833153985767015,0.0,0.0
MICH,pchp_change_pooled,40,0.09848728556075007,0.1640953295070967,0.28343306692304693,0.0,0.0
MICH,pchp_raw_domain_equal,40,0.10831697732910632,0.1683749058530924,0.29171126841769174,0.0,0.0
MICH,pchp_raw_pooled,40,0.1059771421794344,0.16557468155415103,0.28762689001803665,0.0,0.0
MICH_EXP,pchp_change_domain_equal,18,0.08464938623788601,0.09632121951091782,0.1641458290109016,0.0,0.0
MICH_EXP,pchp_change_pooled,18,0.08471424755029182,0.09651630311522248,0.1641458290109016,0.0,0.0
MICH_EXP,pchp_raw_domain_equal,18,0.09095985555879488,0.10176477149706599,0.16588575181782866,0.0,0.0
MICH_EXP,pchp_raw_pooled,18,0.09052441128123118,0.10139478034494667,0.16606345604726655,0.0,0.0
RWTH,pchp_change_domain_equal,48,0.1453074741276922,0.19039202662103116,0.18298946703661956,0.0,0.0
RWTH,pchp_change_pooled,48,0.1453074741276922,0.19039202662103116,0.18298946703661956,0.0,0.0
RWTH,pchp_raw_domain_equal,48,0.14351235688835803,0.18055713478190474,0.17979612457893995,0.0,0.0
RWTH,pchp_raw_pooled,48,0.1439998269396013,0.18151784105938729,0.1808536566837075,0.0,0.0
SDU,pchp_change_domain_equal,86,0.06528704462743475,0.07287332966078602,0.10426434262152441,0.0,0.0
SDU,pchp_change_pooled,86,0.06552429478529634,0.07310437421359657,0.10425135913031525,0.0,0.0
SDU,pchp_raw_domain_equal,86,0.0715428083033416,0.0792299508292794,0.12203166703756892,0.0,0.0
SDU,pchp_raw_pooled,86,0.07391458176713453,0.08127461549428523,0.12399198512167202,0.0,0.0
SNL,pchp_change_domain_equal,61,0.06668762590174612,0.07444256233728352,0.2501275609389053,0.0,0.0
SNL,pchp_change_pooled,61,0.06559681229998868,0.0735596906370545,0.24985660547726674,0.0,0.0
SNL,pchp_raw_domain_equal,61,0.06684065062092046,0.07537007403836575,0.24984279205781224,0.0,0.0
SNL,pchp_raw_pooled,61,0.06597548965393531,0.07448446506010294,0.2500662694878967,0.0,0.0
UL_PUR,pchp_change_domain_equal,10,0.03715022080825636,0.05078646398103066,0.06566385423143085,0.0,0.0
UL_PUR,pchp_change_pooled,10,0.03714806260705126,0.050772793134264305,0.06599791072615277,0.0,0.0
UL_PUR,pchp_raw_domain_equal,10,0.037183915880499706,0.0507979322761168,0.06609366583232242,0.0,0.0
UL_PUR,pchp_raw_pooled,10,0.03749516208718106,0.05090276700270248,0.0665273828186429,0.0,0.0
XJTU,pchp_change_domain_equal,23,0.11621316419014151,0.11849177032513081,0.13232818163064516,0.0,0.0
XJTU,pchp_change_pooled,23,0.11700601666600421,0.11915302241950221,0.13232818163064516,0.0,0.0
XJTU,pchp_raw_domain_equal,23,0.13483336944694252,0.1372120812481767,0.1492530005105283,0.0,0.0
XJTU,pchp_raw_pooled,23,0.13516140550498354,0.1374630606604888,0.15086927018979948,0.0,0.0
