domain,cell_id,cell_mae,method
CALB,CALB/CALB_0_B182,0.07003014673903026,pointwise_tube
CALB,CALB/CALB_0_B183,0.05770406334881683,pointwise_tube
CALB,CALB/CALB_0_B184,0.041911582019399186,pointwise_tube
CALB,CALB/CALB_0_B185,0.04306061688227798,pointwise_tube
CALB,CALB/CALB_0_B187,0.041567288756802205,pointwise_tube
CALB,CALB/CALB_0_B188,0.042964248531523114,pointwise_tube
CALB,CALB/CALB_0_B189,0.03763322389519368,pointwise_tube
CALB,CALB/CALB_0_B190,0.06578534815835356,pointwise_tube
CALB,CALB/CALB_25_T25-1,0.016036315093587317,pointwise_tube
CALB,CALB/CALB_25_T25-2,0.020837987328008303,pointwise_tube
CALB,CALB/CALB_35_B173,0.021462324566620897,pointwise_tube
CALB,CALB/CALB_35_B174,0.023853043654186855,pointwise_tube
CALB,CALB/CALB_35_B175,0.0254695509229138,pointwise_tube
CALB,CALB/CALB_35_B222,0.0222521733398143,pointwise_tube
CALB,CALB/CALB_35_B223,0.02088901944807743,pointwise_tube
CALB,CALB/CALB_35_B224,0.02060874554834509,pointwise_tube
CALB,CALB/CALB_35_B227,0.022058733367756406,pointwise_tube
CALB,CALB/CALB_35_B228,0.024909936998452814,pointwise_tube
CALB,CALB/CALB_35_B229,0.022223286857123044,pointwise_tube
CALB,CALB/CALB_35_B230,0.021807123015082794,pointwise_tube
CALB,CALB/CALB_35_B247,0.26446724160021295,pointwise_tube
CALB,CALB/CALB_35_B248,0.02389266888742181,pointwise_tube
CALB,CALB/CALB_35_B249,0.023141412972176187,pointwise_tube
CALB,CALB/CALB_35_B250,0.021498502492424604,pointwise_tube
CALB,CALB/CALB_45_B253,0.02988940194040863,pointwise_tube
CALB,CALB/CALB_45_B255,0.03277358257657285,pointwise_tube
CALB,CALB/CALB_45_B256,0.03353566913628378,pointwise_tube
CALCE,CALCE/CALCE_CS2_33,0.07718726036646992,pointwise_tube
CALCE,CALCE/CALCE_CS2_34,0.03657154875765516,pointwise_tube
CALCE,CALCE/CALCE_CS2_35,0.07427306870630282,pointwise_tube
CALCE,CALCE/CALCE_CS2_36,0.09676527393287662,pointwise_tube
CALCE,CALCE/CALCE_CS2_37,0.08079425001702614,pointwise_tube
CALCE,CALCE/CALCE_CS2_38,0.07516621995712286,pointwise_tube
CALCE,CALCE/CALCE_CX2_16,0.04982080170105299,pointwise_tube
CALCE,CALCE/CALCE_CX2_33,0.024267090145431852,pointwise_tube
CALCE,CALCE/CALCE_CX2_34,0.046470245000995954,pointwise_tube
CALCE,CALCE/CALCE_CX2_35,0.028863222158836264,pointwise_tube
CALCE,CALCE/CALCE_CX2_36,0.055469114841801254,pointwise_tube
CALCE,CALCE/CALCE_CX2_37,0.03447869464199904,pointwise_tube
CALCE,CALCE/CALCE_CX2_38,0.0659593982326984,pointwise_tube
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,0.18862977147320223,pointwise_tube
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,0.03571460952887295,pointwise_tube
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,0.04805105140617627,pointwise_tube
