domain,method,cell_macro_mae,physical_cells
CALB,bounded_recovery,0.03782644243669661,27
CALB,pointwise_tube,0.040454194002846916,27
CALB,strict_monotone,0.040455873559470806,27
CALCE,bounded_recovery,0.05777172172922744,13
CALCE,pointwise_tube,0.05739124526617456,13
CALCE,strict_monotone,0.05446868201152872,13
HNEI,bounded_recovery,0.049129298547932895,14
HNEI,pointwise_tube,0.05679290332068969,14
HNEI,strict_monotone,0.05700020111159264,14
HUST,bounded_recovery,0.031474611260404746,77
HUST,pointwise_tube,0.03100104545943027,77
HUST,strict_monotone,0.030855834017635142,77
MATR,bounded_recovery,0.044799815843287114,169
MATR,pointwise_tube,0.045725564628749174,169
MATR,strict_monotone,0.0494696776323124,169
MICH,bounded_recovery,0.09784709030306071,40
MICH,pointwise_tube,0.09692640076285132,40
MICH,strict_monotone,0.0969849615376294,40
MICH_EXP,bounded_recovery,0.08187664568794673,18
MICH_EXP,pointwise_tube,0.08365838276597337,18
MICH_EXP,strict_monotone,0.08464938623788601,18
RWTH,bounded_recovery,0.14973796261426345,48
RWTH,pointwise_tube,0.1453074741276922,48
RWTH,strict_monotone,0.1453074741276922,48
SDU,bounded_recovery,0.06393146877306276,86
SDU,pointwise_tube,0.0639809690284204,86
SDU,strict_monotone,0.06528704462743475,86
SNL,bounded_recovery,0.06891811730147442,61
SNL,pointwise_tube,0.06699476383784347,61
SNL,strict_monotone,0.06668762590174612,61
UL_PUR,bounded_recovery,0.037014342372937145,10
UL_PUR,pointwise_tube,0.03700896607396073,10
UL_PUR,strict_monotone,0.03715022080825636,10
XJTU,bounded_recovery,0.11467931375312791,23
XJTU,pointwise_tube,0.1161739156727779,23
XJTU,strict_monotone,0.11621316419014152,23
