surface,compatible_target,upper_bound,domain_equal_cell_macro_mae,worst_domain_cell_macro_mae,record_equal_mae,maximum_state,maximum_output,raw_baseline_clipped_records,raw_candidate_above_cap_records,truth_above_cap_records,changed_outputs_vs_1.3,maximum_output_change_vs_1.3,maximum_absolute_displacement,maximum_observed_absolute_loss_increase,state_nonincreasing,output_nonincreasing,range_passed,harm_certificate_passed
development,True,1.1,0.07037751214694384,0.1453074741276922,0.06791999310417265,1.0242741338062251,1.014274133806225,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
development,True,1.2,0.07037751214694384,0.1453074741276922,0.06791999310417265,1.0242741338062251,1.014274133806225,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
development,True,1.3,0.07037751214694384,0.1453074741276922,0.06791999310417265,1.0242741338062251,1.014274133806225,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
development,True,1.5,0.07037751214694384,0.1453074741276922,0.06791999310417265,1.0242741338062251,1.014274133806225,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
external,True,1.1,0.12636478582538288,0.21144556122150418,0.11561860613755291,0.9958999580761885,0.9858999580761885,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
external,True,1.2,0.12636478582538288,0.21144556122150418,0.11561860613755291,0.9958999580761885,0.9858999580761885,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
external,True,1.3,0.12636478582538288,0.21144556122150418,0.11561860613755291,0.9958999580761885,0.9858999580761885,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
external,True,1.5,0.12636478582538288,0.21144556122150418,0.11561860613755291,0.9958999580761885,0.9858999580761885,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
basytec,True,1.1,0.16510065532845947,0.16510065532845947,0.16511131640067758,0.8972766930593631,0.9072766930593631,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
basytec,True,1.2,0.16510065532845947,0.16510065532845947,0.16511131640067758,0.8972766930593631,0.9072766930593631,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
basytec,True,1.3,0.16510065532845947,0.16510065532845947,0.16511131640067758,0.8972766930593631,0.9072766930593631,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
basytec,True,1.5,0.16510065532845947,0.16510065532845947,0.16511131640067758,0.8972766930593631,0.9072766930593631,0,0,0,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
nasa,False,1.1,0.7279076657579981,0.7279076657579981,0.6304170890197797,0.9472085321794055,0.9372085321794055,0,0,264,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
nasa,False,1.2,0.7279076657579981,0.7279076657579981,0.6304170890197797,0.9472085321794055,0.9372085321794055,0,0,201,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
nasa,False,1.3,0.7279076657579981,0.7279076657579981,0.6304170890197797,0.9472085321794055,0.9372085321794055,0,0,144,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
nasa,False,1.5,0.7279076657579981,0.7279076657579981,0.6304170890197797,0.9472085321794055,0.9372085321794055,0,0,127,0,0.0,0.010000000000000009,0.010000000000000009,True,True,True,True
