domain,cell_macro_mae,physical_cells,surface,upper_bound
CALB,0.040455873559470806,27,development,1.1
CALCE,0.05446868201152872,13,development,1.1
HNEI,0.05700020111159264,14,development,1.1
HUST,0.030855834017635142,77,development,1.1
MATR,0.0494696776323124,169,development,1.1
MICH,0.0969849615376294,40,development,1.1
MICH_EXP,0.08464938623788601,18,development,1.1
RWTH,0.1453074741276922,48,development,1.1
SDU,0.06528704462743475,86,development,1.1
SNL,0.06668762590174612,61,development,1.1
UL_PUR,0.03715022080825636,10,development,1.1
XJTU,0.11621316419014152,23,development,1.1
CALB,0.040455873559470806,27,development,1.2
CALCE,0.05446868201152872,13,development,1.2
HNEI,0.05700020111159264,14,development,1.2
HUST,0.030855834017635142,77,development,1.2
MATR,0.0494696776323124,169,development,1.2
MICH,0.0969849615376294,40,development,1.2
MICH_EXP,0.08464938623788601,18,development,1.2
RWTH,0.1453074741276922,48,development,1.2
SDU,0.06528704462743475,86,development,1.2
SNL,0.06668762590174612,61,development,1.2
UL_PUR,0.03715022080825636,10,development,1.2
XJTU,0.11621316419014152,23,development,1.2
CALB,0.040455873559470806,27,development,1.3
CALCE,0.05446868201152872,13,development,1.3
HNEI,0.05700020111159264,14,development,1.3
HUST,0.030855834017635142,77,development,1.3
MATR,0.0494696776323124,169,development,1.3
MICH,0.0969849615376294,40,development,1.3
MICH_EXP,0.08464938623788601,18,development,1.3
RWTH,0.1453074741276922,48,development,1.3
SDU,0.06528704462743475,86,development,1.3
SNL,0.06668762590174612,61,development,1.3
UL_PUR,0.03715022080825636,10,development,1.3
XJTU,0.11621316419014152,23,development,1.3
CALB,0.040455873559470806,27,development,1.5
CALCE,0.05446868201152872,13,development,1.5
HNEI,0.05700020111159264,14,development,1.5
HUST,0.030855834017635142,77,development,1.5
MATR,0.0494696776323124,169,development,1.5
MICH,0.0969849615376294,40,development,1.5
MICH_EXP,0.08464938623788601,18,development,1.5
RWTH,0.1453074741276922,48,development,1.5
SDU,0.06528704462743475,86,development,1.5
SNL,0.06668762590174612,61,development,1.5
UL_PUR,0.03715022080825636,10,development,1.5
XJTU,0.11621316419014152,23,development,1.5
AMPERE_A123_LFP,0.20928315253661672,20,external,1.1
IMPERIAL_M50T,0.21144556122150418,40,external,1.1
ISU_ILCC_NMC,0.1676920220070287,244,external,1.1
LUH_NMC_SIO,0.07202617650205156,180,external,1.1
MULTISTAGE_50E,0.0320486084597061,145,external,1.1
STANFORD_CALENDAR,0.06569319422538987,30,external,1.1
AMPERE_A123_LFP,0.20928315253661672,20,external,1.2
IMPERIAL_M50T,0.21144556122150418,40,external,1.2
ISU_ILCC_NMC,0.1676920220070287,244,external,1.2
LUH_NMC_SIO,0.07202617650205156,180,external,1.2
MULTISTAGE_50E,0.0320486084597061,145,external,1.2
STANFORD_CALENDAR,0.06569319422538987,30,external,1.2
AMPERE_A123_LFP,0.20928315253661672,20,external,1.3
IMPERIAL_M50T,0.21144556122150418,40,external,1.3
ISU_ILCC_NMC,0.1676920220070287,244,external,1.3
LUH_NMC_SIO,0.07202617650205156,180,external,1.3
MULTISTAGE_50E,0.0320486084597061,145,external,1.3
STANFORD_CALENDAR,0.06569319422538987,30,external,1.3
AMPERE_A123_LFP,0.20928315253661672,20,external,1.5
IMPERIAL_M50T,0.21144556122150418,40,external,1.5
ISU_ILCC_NMC,0.1676920220070287,244,external,1.5
LUH_NMC_SIO,0.07202617650205156,180,external,1.5
MULTISTAGE_50E,0.0320486084597061,145,external,1.5
STANFORD_CALENDAR,0.06569319422538987,30,external,1.5
BAYREUTH_PATH_INDICATORS_2025,0.16510065532845947,45,basytec,1.1
BAYREUTH_PATH_INDICATORS_2025,0.16510065532845947,45,basytec,1.2
BAYREUTH_PATH_INDICATORS_2025,0.16510065532845947,45,basytec,1.3
BAYREUTH_PATH_INDICATORS_2025,0.16510065532845947,45,basytec,1.5
NASA_PCOE_BATTERY_5,0.7279076657579981,33,nasa,1.1
NASA_PCOE_BATTERY_5,0.7279076657579981,33,nasa,1.2
NASA_PCOE_BATTERY_5,0.7279076657579981,33,nasa,1.3
NASA_PCOE_BATTERY_5,0.7279076657579981,33,nasa,1.5
