surface,variable,records,minimum,median,q95,q99,maximum,fraction_above_1.1,fraction_above_1.2,fraction_above_1.3,fraction_above_1.5
development,truth,601932,0.020369191597708468,0.9191449814126393,1.0002943200990633,1.0107489938959962,1.0594059405940592,0.0,0.0,0.0,0.0
development,raw_baseline,601932,0.061522121447667034,0.8863170500785014,0.9705284441959382,0.9844769012138012,1.027146839525978,0.0,0.0,0.0,0.0
development,raw_candidate,601932,0.07458412883401024,0.9165621420833376,0.9966203350807556,1.0062982928051887,1.0214574466714095,0.0,0.0,0.0,0.0
development,saved_state,601932,0.3499285599284209,0.8961302317353104,0.9777651253580762,0.9873911615200583,1.0242741338062251,0.0,0.0,0.0,0.0
development,saved_method,601932,0.3399285599284209,0.897502124142271,0.9835507267591062,0.9932206096275973,1.014274133806225,0.0,0.0,0.0,0.0
external,truth,9712,0.13429096459341675,0.8905540527509607,0.9785140107822276,0.9898163775136609,0.9984673373595749,0.0,0.0,0.0,0.0
external,raw_baseline,9712,0.12824080821704398,0.8964182966321453,0.9920724535185383,0.9955044239092072,0.9964034544326099,0.0,0.0,0.0,0.0
external,raw_candidate,9712,0.2629838080356911,0.9509136755912273,0.9794852337566972,0.980502981215422,0.9814204399067407,0.0,0.0,0.0,0.0
external,saved_state,9712,0.3799004902551727,0.9451560592326003,0.9953263746691206,0.995724099285359,0.9958999580761885,0.0,0.0,0.0,0.0
external,saved_method,9712,0.3899004902551727,0.9466427263628949,0.9853263746691205,0.985724099285359,0.9858999580761885,0.0,0.0,0.0,0.0
basytec,truth,2969,0.7217858233596375,0.9876286668409249,0.997776334337294,0.9990611709881776,1.0046122322646904,0.0,0.0,0.0,0.0
basytec,raw_baseline,2969,0.3245276318561272,0.7990943494116332,0.8263108277603335,0.8467235144614456,0.8972766930593631,0.0,0.0,0.0,0.0
basytec,raw_candidate,2969,0.47322558007487503,0.918823799561536,0.9325768147961762,0.9521727142631116,0.9748234436029412,0.0,0.0,0.0,0.0
basytec,saved_state,2969,0.39471749978548426,0.8325929139391745,0.8732400378914599,0.8842888818602082,0.8972766930593631,0.0,0.0,0.0,0.0
basytec,saved_method,2969,0.40471749978548427,0.8425929139391745,0.8832400378914599,0.8942888818602082,0.9072766930593631,0.0,0.0,0.0,0.0
nasa,truth,2556,0.03333547688710935,0.8901969041331509,1.4400522484839082,3.760157166409445,21.770609322382242,0.10328638497652583,0.07863849765258216,0.056338028169014086,0.04968701095461659
nasa,raw_baseline,2598,0.11317151498393622,0.4362414368360701,0.6815053945471119,0.7549539661711179,0.9472085321794055,0.0,0.0,0.0,0.0
nasa,raw_candidate,2598,0.2588893772856253,0.6119691476948874,0.8560096416218346,0.8876975065350663,0.9326331884888146,0.0,0.0,0.0,0.0
nasa,saved_state,2598,0.14283185815625374,0.453495737102833,0.7437799907592533,0.7610083344279246,0.9472085321794055,0.0,0.0,0.0,0.0
nasa,saved_method,2598,0.15283185815625375,0.4616919880020139,0.747214426491511,0.7710083344279246,0.9372085321794055,0.0,0.0,0.0,0.0
